Branch_ID,Branch_Name,Customer_ID,Customer_Name,Total_Spent,Spending_rank
BR0036,"Chennai Branch 36",CUST062927,"Anjali Malhotra",516413.29,2
BR0036,"Chennai Branch 36",CUST085887,"Ankit Jain",351880.36,3
BR0037,"Lucknow Branch 37",CUST027490,"Riya Choudhary",370598.84,1
BR0037,"Lucknow Branch 37",CUST011436,"Pooja Joshi",299597.90,2
BR0037,"Lucknow Branch 37",CUST065141,"Nikhil Verma",299448.64,3
BR0038,"Alwar Branch 38",CUST072051,"Meena Bansal",468620.54,1
BR0038,"Alwar Branch 38",CUST088936,"Rohit Kumar",457004.14,2
BR0038,"Alwar Branch 38",CUST071563,"Manish Verma",365523.70,3
BR0039,"Jaipur Branch 39",CUST030921,"Vikas Mishra",424535.82,1
BR0039,"Jaipur Branch 39",CUST084533,"Komal Agarwal",395666.49,2
BR0039,"Jaipur Branch 39",CUST022620,"Amit Saini",299886.54,3
BR0040,"Ahmedabad Branch 40",CUST083743,"Arjun Joshi",558193.18,1
BR0040,"Ahmedabad Branch 40",CUST097265,"Ankit Yadav",299991.12,2
BR0040,"Ahmedabad Branch 40",CUST070867,"Shreya Rathore",299677.48,3
BR0041,"Bengaluru Branch 41",CUST035769,"Deepak Mishra",455886.25,1
BR0041,"Bengaluru Branch 41",CUST050848,"Shreya Yadav",419360.84,2
BR0041,"Bengaluru Branch 41",CUST000811,"Vikas Bansal",374151.12,3
BR0042,"Pune Branch 42",CUST051248,"Anjali Singh",339545.79,1
BR0042,"Pune Branch 42",CUST036369,"Pawan Verma",299994.08,2
BR0042,"Pune Branch 42",CUST047555,"Manish Gupta",298651.58,3
BR0043,"Chennai Branch 43",CUST098982,"Neha Patel",332998.04,1
BR0043,"Chennai Branch 43",CUST032879,"Arjun Mishra",299851.57,2
BR0043,"Chennai Branch 43",CUST041456,"Pawan Mehta",299610.83,3
BR0044,"Udaipur Branch 44",CUST088591,"Ankit Yadav",428844.14,1
BR0044,"Udaipur Branch 44",CUST075128,"Suresh Rathore",372442.97,2
BR0044,"Udaipur Branch 44",CUST059785,"Arjun Choudhary",348026.23,3
BR0045,"Kota Branch 45",CUST036440,"Riya Bansal",592140.92,1
BR0045,"Kota Branch 45",CUST008574,"Nikhil Mishra",398709.73,2
BR0045,"Kota Branch 45",CUST071381,"Karan Bansal",380164.71,3
BR0046,"Bengaluru Branch 46",CUST092894,"Shreya Mishra",440226.74,1
BR0046,"Bengaluru Branch 46",CUST053930,"Arjun Singh",299516.66,2
BR0046,"Bengaluru Branch 46",CUST094460,"Ankit Kumar",299487.41,3
BR0047,"Bengaluru Branch 47",CUST029799,"Nikhil Tiwari",476290.59,1
BR0047,"Bengaluru Branch 47",CUST045931,"Pooja Saini",457652.78,2
BR0047,"Bengaluru Branch 47",CUST044070,"Rahul Rathore",443764.59,3
BR0048,"Delhi Branch 48",CUST098176,"Pooja Singh",401953.04,1
BR0048,"Delhi Branch 48",CUST085445,"Nikhil Sharma",340938.24,2
BR0048,"Delhi Branch 48",CUST038329,"Kavita Yadav",337115.14,3
BR0049,"Surat Branch 49",CUST061208,"Suresh Singh",393590.60,1
BR0049,"Surat Branch 49",CUST080112,"Rohit Malhotra",377416.90,2
BR0049,"Surat Branch 49",CUST055260,"Vivek Choudhary",299979.74,3
BR0050,"Ahmedabad Branch 50",CUST057937,"Simran Mishra",400444.70,1
BR0050,"Ahmedabad Branch 50",CUST067948,"Kavita Gupta",299524.24,2
BR0050,"Ahmedabad Branch 50",CUST059678,"Sneha Yadav",299007.84,3
BR0051,"Chandigarh Branch 51",CUST074761,"Nikhil Kumar",482112.48,1
BR0051,"Chandigarh Branch 51",CUST022966,"Meena Joshi",442770.70,2
BR0051,"Chandigarh Branch 51",CUST022465,"Kavita Agarwal",421281.64,3
BR0052,"Surat Branch 52",CUST020872,"Manish Mehta",389086.14,1
BR0052,"Surat Branch 52",CUST084284,"Nikhil Yadav",299526.20,2
BR0052,"Surat Branch 52",CUST025003,"Neha Yadav",299504.12,3
BR0053,"Chennai Branch 53",CUST043376,"Manish Tiwari",545199.58,1
BR0053,"Chennai Branch 53",CUST096539,"Manish Jain",299095.83,2
BR0053,"Chennai Branch 53",CUST070367,"Karan Rathore",298461.36,3
BR0054,"Hyderabad Branch 54",CUST098355,"Kavita Verma",350181.07,1
BR0054,"Hyderabad Branch 54",CUST023068,"Anjali Yadav",299988.52,2
BR0054,"Hyderabad Branch 54",CUST063952,"Neha Mishra",299907.60,3
BR0055,"Kota Branch 55",CUST087665,"Vikas Verma",503839.12,1
BR0055,"Kota Branch 55",CUST038365,"Shreya Mehta",454844.31,2
BR0055,"Kota Branch 55",CUST019740,"Sneha Bansal",299976.59,3
BR0056,"Alwar Branch 56",CUST079690,"Riya Kumar",407596.75,1
BR0056,"Alwar Branch 56",CUST081594,"Vikas Patel",401394.61,2
BR0056,"Alwar Branch 56",CUST004891,"Sneha Mehta",348322.30,3
BR0057,"Surat Branch 57",CUST073035,"Sneha Gupta",419368.30,1
BR0057,"Surat Branch 57",CUST000432,"Meena Tiwari",386388.35,2
BR0057,"Surat Branch 57",CUST097232,"Pawan Malhotra",375649.74,3
BR0058,"Kota Branch 58",CUST063547,"Neha Saini",368166.78,1
BR0058,"Kota Branch 58",CUST087805,"Neha Gupta",299734.51,2
BR0058,"Kota Branch 58",CUST037003,"Riya Saini",299438.48,3
BR0059,"Surat Branch 59",CUST021375,"Sneha Malhotra",923109.90,1
BR0059,"Surat Branch 59",CUST076600,"Sneha Kumar",843218.02,2
BR0059,"Surat Branch 59",CUST073130,"Arjun Mehta",735472.74,3
BR0060,"Chennai Branch 60",CUST041561,"Priya Yadav",536572.09,1
BR0060,"Chennai Branch 60",CUST010773,"Suresh Verma",524670.26,2
BR0060,"Chennai Branch 60",CUST077098,"Nikhil Mehta",373581.25,3
BR0061,"Hyderabad Branch 61",CUST013522,"Sneha Gupta",519846.09,1
BR0061,"Hyderabad Branch 61",CUST000232,"Amit Sharma",299524.30,2
BR0061,"Hyderabad Branch 61",CUST097825,"Nikhil Tiwari",299480.48,3
BR0062,"Chennai Branch 62",CUST004020,"Karan Singh",539998.79,1
BR0062,"Chennai Branch 62",CUST035778,"Nikhil Saini",298626.19,2
BR0062,"Chennai Branch 62",CUST001773,"Karan Patel",298427.76,3
BR0063,"Mumbai Branch 63",CUST012060,"Deepak Patel",425516.42,1
BR0063,"Mumbai Branch 63",CUST023283,"Vikas Gupta",407468.58,2
BR0063,"Mumbai Branch 63",CUST066874,"Rahul Joshi",407039.15,3
BR0064,"Udaipur Branch 64",CUST068928,"Komal Rathore",310271.37,1
BR0064,"Udaipur Branch 64",CUST065511,"Riya Bansal",299991.97,2
BR0064,"Udaipur Branch 64",CUST042203,"Priya Patel",299179.58,3
BR0065,"Hyderabad Branch 65",CUST076497,"Pawan Yadav",382160.66,1
BR0065,"Hyderabad Branch 65",CUST014450,"Karan Agarwal",337118.12,2
BR0065,"Hyderabad Branch 65",CUST019063,"Karan Agarwal",299924.29,3
BR0066,"Ahmedabad Branch 66",CUST006390,"Shreya Tiwari",502379.13,1
BR0066,"Ahmedabad Branch 66",CUST009650,"Pawan Malhotra",313572.72,2
BR0066,"Ahmedabad Branch 66",CUST048198,"Suresh Joshi",299236.00,3
BR0067,"Udaipur Branch 67",CUST017091,"Priya Rathore",505676.52,1
BR0067,"Udaipur Branch 67",CUST040243,"Arjun Rathore",392253.93,2
BR0067,"Udaipur Branch 67",CUST063942,"Rohit Mishra",307497.16,3
BR0068,"Chandigarh Branch 68",CUST076628,"Rohit Choudhary",399075.10,1
BR0068,"Chandigarh Branch 68",CUST069149,"Pooja Bansal",313220.16,2
BR0068,"Chandigarh Branch 68",CUST019603,"Rahul Malhotra",299966.33,3
BR0069,"Alwar Branch 69",CUST076067,"Pawan Mishra",299520.02,1
BR0069,"Alwar Branch 69",CUST072502,"Priya Agarwal",299320.13,2
BR0069,"Alwar Branch 69",CUST066008,"Meena Mishra",298874.09,3
BR0070,"Jodhpur Branch 70",CUST047992,"Vivek Singh",561605.02,1
BR0070,"Jodhpur Branch 70",CUST057251,"Meena Kumar",470434.41,2
BR0070,"Jodhpur Branch 70",CUST084430,"Kavita Agarwal",299837.25,3
BR0071,"Lucknow Branch 71",CUST015226,"Anjali Gupta",509741.46,1
BR0071,"Lucknow Branch 71",CUST077868,"Vikas Joshi",329633.92,2
BR0071,"Lucknow Branch 71",CUST087671,"Neha Joshi",299555.87,3
BR0072,"Jaipur Branch 72",CUST064066,"Priya Saini",464050.40,1
BR0072,"Jaipur Branch 72",CUST021631,"Shreya Yadav",299816.58,2
BR0072,"Jaipur Branch 72",CUST014109,"Neha Rathore",299583.09,3
BR0073,"Hyderabad Branch 73",CUST048963,"Suresh Saini",539021.94,1
BR0073,"Hyderabad Branch 73",CUST089901,"Karan Choudhary",472490.54,2
BR0073,"Hyderabad Branch 73",CUST025089,"Manish Jain",371583.37,3
BR0074,"Bhopal Branch 74",CUST061953,"Ankit Rathore",455443.09,1
BR0074,"Bhopal Branch 74",CUST096547,"Suresh Agarwal",299940.68,2
BR0074,"Bhopal Branch 74",CUST038820,"Vivek Joshi",299720.64,3
BR0075,"Surat Branch 75",CUST087339,"Amit Joshi",371748.44,1
BR0075,"Surat Branch 75",CUST045102,"Deepak Bansal",361155.55,2
BR0075,"Surat Branch 75",CUST089333,"Komal Sharma",360228.89,3
BR0076,"Kota Branch 76",CUST018288,"Meena Patel",450425.27,1
BR0076,"Kota Branch 76",CUST057963,"Vivek Bansal",299809.94,2
BR0076,"Kota Branch 76",CUST074903,"Vivek Choudhary",299274.72,3
BR0077,"Kolkata Branch 77",CUST091337,"Suresh Agarwal",485678.56,1
BR0077,"Kolkata Branch 77",CUST087654,"Vivek Agarwal",370922.89,2
BR0077,"Kolkata Branch 77",CUST052440,"Meena Joshi",299108.70,3
BR0078,"Ahmedabad Branch 78",CUST087306,"Neha Singh",380170.30,1
BR0078,"Ahmedabad Branch 78",CUST008423,"Anjali Kumar",368424.76,2
BR0078,"Ahmedabad Branch 78",CUST054960,"Suresh Choudhary",360137.96,3
BR0079,"Surat Branch 79",CUST056635,"Meena Kumar",313097.97,1
BR0079,"Surat Branch 79",CUST021247,"Simran Choudhary",299809.83,2
BR0079,"Surat Branch 79",CUST040076,"Vikas Joshi",299774.87,3
BR0080,"Delhi Branch 80",CUST065734,"Arjun Mishra",505782.88,1
BR0080,"Delhi Branch 80",CUST002199,"Meena Mishra",484371.86,2
BR0080,"Delhi Branch 80",CUST005491,"Meena Sharma",357769.87,3
BR0081,"Ahmedabad Branch 81",CUST069638,"Komal Bansal",495522.87,1
BR0081,"Ahmedabad Branch 81",CUST039835,"Vikas Verma",438223.56,2
BR0081,"Ahmedabad Branch 81",CUST086070,"Vivek Rathore",323091.02,3
BR0082,"Ahmedabad Branch 82",CUST037099,"Simran Sharma",389374.48,1
BR0082,"Ahmedabad Branch 82",CUST002870,"Neha Gupta",347751.44,2
BR0082,"Ahmedabad Branch 82",CUST064180,"Rahul Jain",299901.75,3
BR0083,"Surat Branch 83",CUST028110,"Simran Saini",471460.43,1
BR0083,"Surat Branch 83",CUST030451,"Meena Joshi",424137.96,2
BR0083,"Surat Branch 83",CUST048702,"Riya Kumar",338356.81,3
BR0084,"Mumbai Branch 84",CUST036274,"Deepak Gupta",456653.97,1
BR0084,"Mumbai Branch 84",CUST027147,"Simran Malhotra",358248.81,2
BR0084,"Mumbai Branch 84",CUST031516,"Anjali Mishra",354556.47,3
BR0085,"Surat Branch 85",CUST049370,"Amit Patel",444357.60,1
BR0085,"Surat Branch 85",CUST076464,"Vivek Rathore",427899.24,2
BR0085,"Surat Branch 85",CUST075252,"Shreya Patel",299963.84,3
BR0086,"Ahmedabad Branch 86",CUST025770,"Amit Rathore",302437.48,1
BR0086,"Ahmedabad Branch 86",CUST016094,"Meena Yadav",299824.30,2
BR0086,"Ahmedabad Branch 86",CUST036670,"Vivek Yadav",299821.81,3
BR0087,"Bengaluru Branch 87",CUST054171,"Rohit Tiwari",498378.32,1
BR0087,"Bengaluru Branch 87",CUST013271,"Deepak Kumar",442043.26,2
BR0087,"Bengaluru Branch 87",CUST081263,"Arjun Patel",299955.87,3
BR0088,"Surat Branch 88",CUST052567,"Sneha Verma",515083.66,1
BR0088,"Surat Branch 88",CUST083298,"Shreya Mehta",453312.52,2
BR0088,"Surat Branch 88",CUST074447,"Riya Patel",321117.61,3
BR0089,"Alwar Branch 89",CUST026336,"Karan Singh",329156.52,1
BR0089,"Alwar Branch 89",CUST087570,"Neha Yadav",325058.18,2
BR0089,"Alwar Branch 89",CUST073024,"Rahul Patel",308257.28,3
BR0090,"Lucknow Branch 90",CUST067419,"Suresh Malhotra",508067.14,1
BR0090,"Lucknow Branch 90",CUST078033,"Vikas Rathore",406993.76,2
BR0090,"Lucknow Branch 90",CUST094366,"Kavita Tiwari",327678.66,3
BR0091,"Bhopal Branch 91",CUST007955,"Rohit Malhotra",499184.83,1
BR0091,"Bhopal Branch 91",CUST043779,"Kavita Rathore",324574.46,2
BR0091,"Bhopal Branch 91",CUST040941,"Suresh Sharma",299955.45,3
BR0092,"Mumbai Branch 92",CUST009145,"Neha Rathore",468192.04,1
BR0092,"Mumbai Branch 92",CUST097460,"Komal Bansal",401010.62,2
BR0092,"Mumbai Branch 92",CUST073565,"Anjali Tiwari",299227.35,3
BR0093,"Chennai Branch 93",CUST076672,"Karan Patel",441969.56,1
BR0093,"Chennai Branch 93",CUST096405,"Amit Rathore",334019.83,2
BR0093,"Chennai Branch 93",CUST010186,"Riya Tiwari",299934.75,3
BR0094,"Hyderabad Branch 94",CUST087198,"Vivek Kumar",470769.19,1
BR0094,"Hyderabad Branch 94",CUST074058,"Riya Gupta",440476.54,2
BR0094,"Hyderabad Branch 94",CUST010640,"Sneha Malhotra",410216.52,3
BR0095,"Chandigarh Branch 95",CUST040292,"Riya Rathore",408702.83,1
BR0095,"Chandigarh Branch 95",CUST034964,"Riya Bansal",333592.81,2
BR0095,"Chandigarh Branch 95",CUST096061,"Ankit Joshi",299635.91,3
BR0096,"Indore Branch 96",CUST019820,"Sneha Mishra",525410.59,1
BR0096,"Indore Branch 96",CUST022344,"Arjun Mehta",444426.36,2
BR0096,"Indore Branch 96",CUST036671,"Pawan Agarwal",299924.91,3
BR0097,"Kolkata Branch 97",CUST011419,"Simran Jain",456107.31,1
BR0097,"Kolkata Branch 97",CUST011931,"Rohit Choudhary",358944.32,2
BR0097,"Kolkata Branch 97",CUST005133,"Manish Sharma",343434.48,3
BR0098,"Jodhpur Branch 98",CUST061016,"Rohit Saini",576635.86,1
BR0098,"Jodhpur Branch 98",CUST006334,"Pooja Tiwari",368728.81,2
BR0098,"Jodhpur Branch 98",CUST099199,"Meena Jain",318140.41,3
BR0099,"Surat Branch 99",CUST049104,"Pawan Jain",499815.82,1
BR0099,"Surat Branch 99",CUST090236,"Simran Gupta",463926.78,2
BR0099,"Surat Branch 99",CUST073642,"Meena Bansal",299725.83,3
BR0100,"Kolkata Branch 100",CUST060273,"Shreya Jain",522362.39,1
BR0100,"Kolkata Branch 100",CUST061186,"Ankit Malhotra",382589.53,2
BR0100,"Kolkata Branch 100",CUST060333,"Shreya Jain",299217.73,3
BR0101,"Chandigarh Branch 101",CUST069761,"Rohit Agarwal",549363.41,1
BR0101,"Chandigarh Branch 101",CUST013934,"Arjun Patel",544213.07,2
BR0101,"Chandigarh Branch 101",CUST089545,"Komal Bansal",455496.94,3
BR0102,"Surat Branch 102",CUST093640,"Pooja Jain",300646.44,1
BR0102,"Surat Branch 102",CUST037962,"Simran Verma",299811.99,2
BR0102,"Surat Branch 102",CUST005768,"Anjali Kumar",299123.63,3
BR0103,"Mumbai Branch 103",CUST089973,"Simran Kumar",531524.00,1
BR0103,"Mumbai Branch 103",CUST048993,"Pawan Choudhary",408005.66,2
BR0103,"Mumbai Branch 103",CUST074511,"Arjun Yadav",330665.22,3
BR0104,"Chandigarh Branch 104",CUST080622,"Arjun Mehta",448243.97,1
BR0104,"Chandigarh Branch 104",CUST073607,"Vikas Malhotra",299904.79,2
BR0104,"Chandigarh Branch 104",CUST076258,"Vikas Yadav",298925.69,3
BR0105,"Chandigarh Branch 105",CUST046868,"Vikas Kumar",429689.89,1
BR0105,"Chandigarh Branch 105",CUST035250,"Nikhil Gupta",403045.42,2
BR0105,"Chandigarh Branch 105",CUST031978,"Neha Bansal",307324.92,3
BR0106,"Chandigarh Branch 106",CUST087307,"Rohit Jain",438441.97,1
BR0106,"Chandigarh Branch 106",CUST036617,"Riya Rathore",423318.69,2
BR0106,"Chandigarh Branch 106",CUST062205,"Neha Mishra",299452.73,3
BR0107,"Chandigarh Branch 107",CUST053225,"Rohit Mishra",471155.87,1
BR0107,"Chandigarh Branch 107",CUST009814,"Arjun Verma",392026.68,2
BR0107,"Chandigarh Branch 107",CUST036289,"Manish Rathore",311397.80,3
BR0108,"Pune Branch 108",CUST056930,"Amit Mishra",443256.30,1
BR0108,"Pune Branch 108",CUST059244,"Manish Kumar",365868.46,2
BR0108,"Pune Branch 108",CUST033882,"Kavita Sharma",329474.70,3
BR0109,"Delhi Branch 109",CUST033280,"Kavita Rathore",299758.01,1
BR0109,"Delhi Branch 109",CUST092951,"Karan Patel",299297.04,2
BR0109,"Delhi Branch 109",CUST019280,"Riya Bansal",298851.94,3
BR0110,"Indore Branch 110",CUST039820,"Neha Malhotra",303828.29,1
BR0110,"Indore Branch 110",CUST009663,"Pawan Malhotra",299779.16,2
BR0110,"Indore Branch 110",CUST056435,"Deepak Tiwari",299613.57,3
BR0111,"Surat Branch 111",CUST017605,"Anjali Malhotra",582575.94,1
BR0111,"Surat Branch 111",CUST072253,"Arjun Yadav",478291.42,2
BR0111,"Surat Branch 111",CUST025880,"Amit Tiwari",303213.01,3
BR0112,"Bhopal Branch 112",CUST097575,"Priya Gupta",370625.00,1
BR0112,"Bhopal Branch 112",CUST045357,"Vivek Tiwari",334485.54,2
BR0112,"Bhopal Branch 112",CUST041979,"Vikas Verma",299945.51,3
BR0113,"Chandigarh Branch 113",CUST048114,"Vivek Patel",508694.26,1
BR0113,"Chandigarh Branch 113",CUST013283,"Rohit Singh",492508.58,2
BR0113,"Chandigarh Branch 113",CUST000337,"Priya Tiwari",324538.53,3
BR0114,"Lucknow Branch 114",CUST075315,"Simran Agarwal",533999.12,1
BR0114,"Lucknow Branch 114",CUST038679,"Priya Malhotra",478220.17,2
BR0114,"Lucknow Branch 114",CUST046140,"Arjun Mishra",330915.10,3
BR0115,"Indore Branch 115",CUST043221,"Komal Mishra",476261.05,1
BR0115,"Indore Branch 115",CUST052950,"Nikhil Sharma",381821.69,2
BR0115,"Indore Branch 115",CUST096284,"Simran Rathore",299683.43,3
BR0116,"Kota Branch 116",CUST001071,"Vikas Tiwari",553727.31,1
BR0116,"Kota Branch 116",CUST050569,"Simran Saini",526699.91,2
BR0116,"Kota Branch 116",CUST045774,"Priya Kumar",353849.68,3
BR0117,"Surat Branch 117",CUST019993,"Ankit Jain",488865.76,1
BR0117,"Surat Branch 117",CUST062310,"Pawan Mishra",464019.22,2
BR0117,"Surat Branch 117",CUST014337,"Sneha Jain",299835.14,3
BR0118,"Indore Branch 118",CUST012515,"Vikas Gupta",546612.88,1
BR0118,"Indore Branch 118",CUST060256,"Suresh Yadav",511121.49,2
BR0118,"Indore Branch 118",CUST020157,"Sneha Malhotra",422409.03,3
