Employee_ID,Employee_Name,Branch_ID,Designation,Department,Joining_Date,Salary,Employee_Status
EMP000055,"Neha Saini",BR0142,Manager,Operations,2025-06-01,65541.56,Active
EMP000056,"Deepak Sharma",BR0340,"Senior Officer",Operations,2022-04-09,38785.30,Unknown
EMP000057,"Ankit Tiwari",BR0017,Officer,"Customer Service",2025-01-04,67306.70,Inactive
EMP000058,"Arjun Saini",BR0643,"Relationship Manager",Operations,2022-03-16,39925.15,Unknown
EMP000059,"Manish Malhotra",BR0136,"Senior Officer","Customer Service",2023-12-30,117794.45,Unknown
EMP000060,"Rohit Mishra",BR0957,"Assistant Manager",Operations,2023-04-26,117079.37,Unknown
EMP000061,"Kavita Patel",BR0762,Manager,"Customer Service",2022-06-13,49835.12,Unknown
EMP000062,"Vivek Yadav",BR0269,Clerk,HR,2025-08-30,145016.35,Active
EMP000063,"Simran Kumar",BR0384,Clerk,"Customer Service",2024-10-28,65224.15,Unknown
EMP000064,"Deepak Jain",BR0276,Officer,IT,2022-09-05,169188.05,Active
EMP000065,"Shreya Gupta",BR0605,"Senior Officer","Customer Service",2023-06-04,82783.19,Active
EMP000066,"Meena Bansal",BR0302,"Assistant Manager",IT,2022-05-24,177019.40,Unknown
EMP000067,"Anjali Bansal",BR0343,"Assistant Manager",Loans,2023-08-19,129606.55,Unknown
EMP000068,"Anjali Gupta",BR0379,Officer,Sales,2025-09-09,141239.04,Inactive
EMP000069,"Priya Patel",BR0780,Manager,Finance,2024-06-19,83672.67,Active
EMP000070,"Simran Agarwal",BR0754,"Assistant Manager",Loans,2024-05-19,136551.09,Active
EMP000071,"Shreya Verma",BR0982,Manager,HR,2023-04-24,75521.32,Active
EMP000072,"Nikhil Bansal",BR0265,"Assistant Manager",IT,2022-07-29,0.00,Active
EMP000073,"Simran Tiwari",BR0563,"Senior Officer",Sales,2025-11-24,77108.28,Unknown
EMP000074,"Shreya Patel",BR0129,Clerk,"Customer Service",0000-00-00,28234.63,Unknown
EMP000075,"Neha Jain",BR0798,"Assistant Manager",HR,2023-11-05,171190.75,Active
EMP000076,"Simran Kumar",BR0121,"Assistant Manager",Operations,2023-05-03,109957.36,Unknown
EMP000077,"Karan Agarwal",BR0303,"Assistant Manager",Sales,2025-08-21,62975.72,Unknown
EMP000078,"Vikas Rathore",BR0908,"Senior Officer",HR,2022-09-16,122256.03,Unknown
EMP000079,"Vivek Choudhary",BR0427,"Assistant Manager",Operations,2023-08-26,100529.67,Active
EMP000080,"Vivek Gupta",BR0311,Manager,Finance,2023-04-15,55085.35,Inactive
EMP000081,"Kavita Tiwari",BR0308,"Assistant Manager",Operations,2023-03-17,64032.97,Active
EMP000082,"Ankit Agarwal",BR0773,"Assistant Manager",Finance,2022-07-05,140744.65,Unknown
EMP000083,"Pawan Yadav",BR0928,Clerk,Finance,2024-04-26,115235.59,Unknown
EMP000084,"Arjun Bansal",BR0377,"Relationship Manager",HR,2023-03-31,119543.71,Active
EMP000085,"Nikhil Mishra",BR0550,Clerk,Sales,2023-07-21,55746.93,Active
EMP000086,"Arjun Bansal",BR0712,Manager,HR,2024-02-04,130643.20,Active
EMP000087,"Sneha Malhotra",BR0180,Manager,Operations,2023-10-21,154175.18,Active
EMP000088,"Sneha Kumar",BR0841,Officer,IT,2025-05-31,60322.52,Inactive
EMP000089,"Komal Rathore",BR0493,"Assistant Manager","Customer Service",2022-07-07,64454.09,Active
EMP000090,"Neha Malhotra",BR0103,"Assistant Manager",Loans,2025-08-18,149818.09,Unknown
EMP000091,"Deepak Kumar",BR0455,Manager,Finance,2024-08-24,30397.05,Unknown
EMP000092,"Vivek Patel",BR0551,"Assistant Manager",Finance,2022-01-28,107359.06,Inactive
EMP000093,"Simran Bansal",BR0021,"Relationship Manager",Loans,2024-09-28,177276.04,Active
EMP000094,"Suresh Agarwal",BR0590,"Senior Officer",Sales,2022-02-09,23921.60,Unknown
EMP000095,"Neha Agarwal",BR0885,"Relationship Manager",IT,2025-10-02,30351.88,Active
EMP000096,"Karan Sharma",BR0673,"Relationship Manager",Loans,2022-12-15,121423.41,Active
EMP000097,"Sneha Singh",BR0638,"Senior Officer",Loans,2022-09-14,164070.53,Unknown
EMP000098,"Kavita Agarwal",BR0902,"Assistant Manager",HR,2025-06-09,60133.25,Unknown
EMP000099,"Rahul Verma",BR0299,Clerk,Sales,2023-02-14,178502.12,Unknown
EMP000100,"Shreya Verma",BR0063,Clerk,IT,2022-03-18,143289.60,Active
EMP000101,"Riya Gupta",BR0363,Officer,HR,2024-01-08,93921.98,Unknown
EMP000102,"Pooja Joshi",BR0758,Manager,Sales,2025-02-16,114034.15,Active
EMP000103,"Rohit Sharma",BR0929,"Assistant Manager",Sales,2025-10-10,96064.67,Inactive
EMP000104,"Kavita Yadav",BR0785,"Assistant Manager",Operations,2022-04-18,62752.84,Inactive
EMP000105,"Riya Mishra",BR0650,"Assistant Manager",IT,2023-06-20,87191.70,Unknown
EMP000106,"Ankit Rathore",BR0069,"Relationship Manager",Operations,2023-03-12,48957.48,Unknown
EMP000107,"Arjun Saini",BR0726,Manager,HR,2025-11-02,51045.86,Active
EMP000108,"Meena Verma",BR0969,Manager,IT,2023-02-25,86531.24,Unknown
EMP000109,"Deepak Kumar",BR0740,"Assistant Manager","Customer Service",2025-05-13,144845.67,Active
EMP000110,"Nikhil Choudhary",BR0794,Clerk,HR,2025-02-17,152273.32,Active
EMP000111,"Nikhil Yadav",BR0577,"Relationship Manager",Loans,2024-07-09,168684.65,Inactive
EMP000112,"Suresh Choudhary",BR0645,Clerk,"Customer Service",2022-05-28,88888.01,Active
EMP000113,"Kavita Agarwal",BR0155,"Assistant Manager",Sales,2022-07-17,157237.19,Active
EMP000114,"Riya Rathore",BR0902,"Relationship Manager",Sales,2025-07-11,99717.46,Active
EMP000115,"Kavita Patel",BR0555,Officer,Sales,2025-05-02,66990.52,Active
EMP000116,"Vikas Patel",BR0869,Manager,"Customer Service",2022-06-07,77270.86,Inactive
EMP000117,"Nikhil Jain",BR0382,Officer,Sales,2024-05-12,178552.20,Active
EMP000118,"Anjali Joshi",BR0627,Officer,IT,2025-01-26,71660.45,Active
EMP000119,"Kavita Jain",BR0881,Officer,Loans,2024-10-11,46093.50,Unknown
EMP000120,"Meena Tiwari",BR0955,"Senior Officer","Customer Service",2025-10-23,69955.46,Inactive
EMP000121,"Riya Tiwari",BR0170,"Assistant Manager",Sales,2024-12-02,58993.33,Unknown
EMP000122,"Sneha Saini",BR0806,Manager,Operations,0000-00-00,56754.25,Active
EMP000123,"Manish Bansal",BR0893,"Assistant Manager",Loans,2022-02-03,132198.47,Inactive
EMP000124,"Anjali Mishra",BR0579,Officer,Loans,2022-04-23,140904.34,Unknown
EMP000125,"Shreya Singh",BR0302,Officer,IT,2023-08-08,89523.96,Unknown
EMP000126,"Ankit Agarwal",BR0401,Clerk,Loans,2024-02-11,166305.42,Inactive
EMP000127,"Manish Gupta",BR0163,"Relationship Manager",Finance,2025-03-20,129072.61,Inactive
EMP000128,"Riya Choudhary",BR0648,Manager,"Customer Service",2022-03-04,163239.20,Unknown
EMP000129,"Ankit Tiwari",BR0197,"Senior Officer",Sales,2023-02-08,48123.75,Active
EMP000130,"Shreya Singh",BR0976,"Senior Officer",IT,2024-05-23,118438.83,Inactive
EMP000131,"Rahul Patel",BR0415,"Relationship Manager",Loans,2023-02-07,118517.34,Inactive
EMP000132,"Komal Agarwal",BR0302,Manager,Operations,2023-01-19,144443.89,Active
EMP000133,"Nikhil Singh",BR0771,Clerk,"Customer Service",2022-01-02,162775.57,Active
EMP000134,"Amit Mehta",BR0486,"Senior Officer",IT,2023-05-06,72909.13,Active
EMP000135,"Riya Mehta",BR0778,Clerk,Sales,2022-07-04,41265.37,Active
EMP000136,"Pooja Joshi",BR0397,"Relationship Manager",IT,2025-01-01,158670.17,Inactive
EMP000137,"Manish Mishra",BR0320,"Senior Officer",IT,2022-02-16,70611.74,Unknown
EMP000138,"Komal Agarwal",BR0913,Officer,IT,2023-07-18,120323.39,Active
EMP000139,"Komal Agarwal",BR0108,"Senior Officer",Loans,2025-08-02,121986.24,Inactive
EMP000140,"Karan Agarwal",BR0630,Officer,IT,2024-06-07,86362.21,Unknown
EMP000141,"Vivek Mehta",BR0024,Manager,Finance,2024-05-10,155697.02,Active
EMP000142,"Riya Singh",BR0707,"Senior Officer",Sales,2025-01-27,38521.74,Inactive
EMP000143,"Ankit Joshi",BR0920,Clerk,"Customer Service",2025-06-09,89211.13,Inactive
EMP000144,"Suresh Agarwal",BR0883,Officer,Operations,2024-05-30,159959.40,Unknown
EMP000145,"Shreya Joshi",BR0862,Manager,Operations,2023-11-23,38380.22,Inactive
EMP000146,"Nikhil Tiwari",BR0495,"Assistant Manager",HR,2023-08-12,121924.90,Unknown
EMP000147,"Karan Kumar",BR0036,"Senior Officer",HR,2023-01-07,147270.00,Unknown
EMP000148,"Neha Joshi",BR0687,"Senior Officer",Finance,2022-01-02,42576.32,Inactive
EMP000149,"Priya Kumar",BR0377,"Assistant Manager",Operations,2022-08-23,91095.16,Unknown
EMP000150,"Vikas Joshi",BR0352,"Assistant Manager",Loans,2024-11-02,138187.03,Active
EMP000151,"Riya Yadav",BR0083,"Relationship Manager",IT,2022-06-10,82614.02,Active
EMP000152,"Priya Gupta",BR0200,Officer,Operations,2025-11-19,123969.29,Active
EMP000153,"Priya Rathore",BR0216,Manager,"Customer Service",0000-00-00,84480.78,Active
EMP000154,"Simran Saini",BR0061,"Senior Officer",Operations,2023-07-10,124729.63,Active
EMP000155,"Simran Yadav",BR0568,Officer,HR,2025-05-23,129869.41,Active
EMP000156,"Neha Jain",BR0788,"Senior Officer",IT,0000-00-00,149670.83,Inactive
EMP000157,"Vivek Sharma",BR0193,Manager,HR,2025-08-24,175772.55,Active
EMP000158,"Meena Choudhary",BR0305,"Relationship Manager",Loans,2025-02-26,119699.30,Unknown
EMP000159,"Sneha Mishra",BR0542,"Senior Officer",Operations,2022-06-16,34545.32,Unknown
EMP000160,"Meena Bansal",BR0665,Officer,"Customer Service",2025-01-27,86199.41,Active
EMP000161,"Komal Tiwari",BR0592,Manager,Operations,2024-03-06,99333.57,Active
EMP000162,"Shreya Rathore",BR0010,Officer,Sales,2022-12-01,78644.85,Inactive
EMP000163,"Simran Bansal",BR0878,"Relationship Manager",Sales,2024-01-02,117855.72,Inactive
EMP000164,"Komal Mishra",BR0465,"Senior Officer","Customer Service",2022-02-11,133494.51,Unknown
EMP000165,"Kavita Bansal",BR0730,"Assistant Manager",IT,2024-05-16,44970.83,Unknown
EMP000166,"Rahul Malhotra",BR0589,"Relationship Manager",HR,2024-06-06,160119.91,Unknown
EMP000167,"Anjali Gupta",BR0997,"Assistant Manager","Customer Service",2024-06-29,94208.11,Active
EMP000168,"Rohit Yadav",BR0522,"Relationship Manager",IT,2025-07-09,85683.46,Active
EMP000169,"Rohit Singh",BR0333,"Senior Officer",Loans,2025-11-25,59467.33,Active
EMP000170,"Ankit Agarwal",BR0748,"Relationship Manager",Sales,2024-11-21,166370.81,Active
EMP000171,"Riya Verma",BR0523,"Assistant Manager",HR,2023-10-28,159841.18,Active
EMP000172,"Simran Patel",BR0889,Clerk,Finance,2025-02-25,90132.26,Unknown
EMP000173,"Pooja Gupta",BR0785,"Relationship Manager",Operations,0000-00-00,42333.16,Active
EMP000174,"Manish Verma",BR0847,"Relationship Manager","Customer Service",2025-12-01,72127.70,Active
EMP000175,"Neha Jain",BR0975,Clerk,HR,2025-12-26,144261.19,Unknown
EMP000176,"Arjun Verma",BR0724,Clerk,HR,2022-03-06,36623.76,Active
EMP000177,"Neha Joshi",BR0435,Clerk,Operations,0000-00-00,161937.13,Unknown
EMP000178,"Meena Gupta",BR0602,Manager,Operations,2022-07-14,43157.60,Active
EMP000179,"Amit Tiwari",BR0349,Officer,Loans,2024-10-13,153120.31,Unknown
EMP000180,"Deepak Saini",BR0261,Clerk,Operations,2024-11-18,29313.90,Unknown
EMP000181,"Ankit Kumar",BR0935,"Senior Officer",Loans,2023-03-25,144782.21,Unknown
EMP000182,"Pawan Joshi",BR0837,"Relationship Manager",Sales,2023-10-15,138653.09,Inactive
EMP000183,"Arjun Yadav",BR0808,"Relationship Manager",HR,2023-04-15,169172.32,Active
EMP000184,"Shreya Verma",BR0358,Manager,Operations,2022-02-17,57320.09,Unknown
EMP000185,"Rohit Gupta",BR0478,"Relationship Manager",IT,2024-09-16,151831.13,Unknown
EMP000186,"Vivek Patel",BR0142,"Relationship Manager",Loans,2024-11-22,59828.55,Unknown
EMP000187,"Nikhil Sharma",BR0111,"Assistant Manager","Customer Service",2022-05-14,127083.88,Active
EMP000188,"Nikhil Bansal",BR0637,"Relationship Manager",Finance,0000-00-00,140082.25,Active
EMP000189,"Priya Saini",BR0275,Officer,Operations,2024-12-16,82237.85,Inactive
EMP000190,"Vikas Malhotra",BR0366,Manager,"Customer Service",2025-12-08,150630.23,Active
EMP000191,"Pawan Gupta",BR0625,Officer,Finance,2025-12-02,45207.95,Active
EMP000192,"Arjun Tiwari",BR0340,"Assistant Manager",Finance,2023-12-15,113960.88,Active
EMP000193,"Vivek Bansal",BR0345,Officer,"Customer Service",2023-12-07,112022.71,Unknown
EMP000194,"Priya Mishra",BR0128,Manager,Sales,2025-11-15,30538.52,Unknown
EMP000195,"Karan Malhotra",BR0040,Officer,Loans,2024-12-12,36641.83,Inactive
EMP000196,"Riya Joshi",BR0377,"Relationship Manager","Customer Service",2025-10-20,56637.33,Inactive
EMP000197,"Amit Choudhary",BR0869,"Senior Officer",Loans,2025-03-14,90179.00,Active
EMP000198,"Kavita Verma",BR0955,"Relationship Manager","Customer Service",2023-03-13,92090.31,Active
EMP000199,"Meena Joshi",BR0557,Officer,IT,2025-07-18,25905.73,Unknown
EMP000200,"Priya Jain",BR0540,Manager,HR,2025-04-02,158940.89,Active
EMP000201,"Rahul Rathore",BR0869,"Assistant Manager",Finance,2022-11-27,161911.10,Unknown
EMP000202,"Ankit Verma",BR0033,Officer,HR,2024-10-30,60257.03,Unknown
EMP000203,"Meena Singh",BR0547,"Senior Officer",Finance,2024-12-31,39340.04,Unknown
EMP000204,"Vikas Saini",BR0957,"Senior Officer",Finance,2023-11-06,114280.66,Inactive
EMP000205,"Suresh Bansal",BR0860,Manager,Finance,2022-11-08,134993.96,Unknown
EMP000206,"Anjali Patel",BR0648,Clerk,Operations,2025-12-26,89971.06,Inactive
EMP000207,"Deepak Kumar",BR0917,Manager,HR,2022-09-16,37170.16,Active
EMP000208,"Neha Jain",BR0261,"Senior Officer",HR,2023-01-03,143910.34,Unknown
EMP000209,"Amit Gupta",BR0165,Officer,HR,2022-11-26,101892.88,Active
EMP000210,"Shreya Saini",BR0979,Officer,"Customer Service",2025-06-14,174402.97,Unknown
EMP000211,"Pooja Malhotra",BR0165,Clerk,IT,2025-02-10,65129.54,Active
EMP000212,"Vivek Bansal",BR0117,"Assistant Manager",HR,2023-08-09,0.00,Unknown
EMP000213,"Manish Tiwari",BR0433,"Relationship Manager",HR,2023-08-27,164818.60,Unknown
EMP000214,"Priya Tiwari",BR0083,"Relationship Manager",HR,2025-02-08,79625.21,Unknown
EMP000215,"Kavita Agarwal",BR0898,"Relationship Manager",Finance,2022-12-04,77668.13,Active
EMP000216,"Pooja Joshi",BR0584,"Senior Officer",Finance,2022-08-06,161223.22,Active
EMP000217,"Shreya Verma",BR0146,Clerk,Operations,2024-12-09,61779.78,Active
EMP000218,"Neha Kumar",BR0001,"Assistant Manager",HR,2022-12-03,121395.45,Unknown
EMP000219,"Neha Saini",BR0908,"Assistant Manager",IT,2022-12-15,28185.68,Active
EMP000220,"Manish Agarwal",BR0804,Officer,IT,2022-04-22,149270.27,Unknown
EMP000221,"Meena Joshi",BR0654,Officer,Loans,2024-10-21,74488.10,Unknown
EMP000222,"Sneha Mishra",BR0383,Officer,Sales,2025-11-16,132287.08,Unknown
EMP000223,"Vikas Mehta",BR0944,"Relationship Manager","Customer Service",2023-10-13,116510.99,Unknown
EMP000224,"Kavita Jain",BR0357,Manager,Finance,2024-06-03,81342.88,Active
EMP000225,"Ankit Joshi",BR0246,"Senior Officer","Customer Service",2022-09-17,26784.24,Unknown
EMP000226,"Arjun Saini",BR0481,"Assistant Manager",Operations,2025-11-04,60765.91,Active
EMP000227,"Amit Mishra",BR0665,"Senior Officer",Finance,2022-12-22,85817.72,Active
EMP000228,"Pooja Choudhary",BR0047,"Senior Officer",HR,2022-08-22,139340.70,Active
EMP000229,"Pooja Agarwal",BR0489,Clerk,Sales,2025-09-11,172810.16,Unknown
EMP000230,"Arjun Verma",BR0537,Officer,Operations,2022-12-04,173304.41,Active
EMP000231,"Arjun Mehta",BR0316,Clerk,Operations,2022-03-22,150718.66,Unknown
EMP000232,"Neha Yadav",BR0581,"Relationship Manager",Loans,2025-10-05,82530.03,Unknown
EMP000233,"Neha Mehta",BR0916,"Relationship Manager",HR,2023-09-24,83837.58,Inactive
EMP000234,"Amit Kumar",BR0390,"Relationship Manager",Operations,0000-00-00,78025.70,Unknown
EMP000235,"Riya Agarwal",BR0383,Officer,"Customer Service",2025-12-29,111927.92,Inactive
EMP000236,"Pooja Rathore",BR0655,"Senior Officer","Customer Service",2022-02-14,125191.61,Unknown
EMP000237,"Amit Choudhary",BR0895,Clerk,Loans,2024-03-26,50530.78,Inactive
EMP000238,"Rahul Malhotra",BR0636,Officer,Loans,2024-08-31,101622.76,Unknown
EMP000239,"Karan Choudhary",BR0097,"Assistant Manager",Finance,2022-08-30,33417.04,Active
EMP000240,"Priya Joshi",BR0265,"Assistant Manager",Operations,2024-11-17,49809.65,Active
EMP000241,"Kavita Joshi",BR0745,"Relationship Manager",Finance,2022-10-08,164767.08,Unknown
EMP000242,"Shreya Patel",BR0415,Officer,Loans,2022-07-02,62280.49,Inactive
EMP000243,"Meena Jain",BR0753,"Senior Officer",HR,2025-06-30,79759.61,Active
EMP000244,"Pooja Joshi",BR0983,Clerk,Operations,2025-05-13,155892.53,Unknown
EMP000245,"Neha Tiwari",BR0856,Manager,Sales,2024-05-23,167331.87,Active
EMP000246,"Komal Saini",BR0988,"Relationship Manager",HR,2024-01-26,114384.44,Inactive
EMP000247,"Neha Choudhary",BR0345,"Assistant Manager",IT,2025-10-20,38495.05,Active
EMP000248,"Rohit Mishra",BR0385,Officer,HR,2024-04-09,0.00,Unknown
EMP000249,"Rohit Yadav",BR0093,Manager,Sales,2025-09-11,103029.98,Inactive
EMP000250,"Simran Kumar",BR0727,Clerk,HR,2023-08-11,53719.10,Active
EMP000251,"Rohit Mishra",BR0058,"Senior Officer",Finance,2025-07-02,125848.51,Inactive
EMP000252,"Riya Sharma",BR0699,Clerk,Loans,2025-03-13,164972.64,Unknown
EMP000253,"Amit Joshi",BR0981,"Relationship Manager",Finance,2024-11-08,163279.75,Inactive
EMP000254,"Simran Malhotra",BR0952,Clerk,Sales,2024-05-10,97832.22,Inactive
EMP000255,"Shreya Saini",BR0658,Clerk,Sales,2025-10-13,24416.22,Active
EMP000256,"Rohit Malhotra",BR0979,Clerk,Loans,2022-07-20,121275.30,Unknown
EMP000257,"Sneha Verma",BR0636,Clerk,Operations,2025-11-27,82166.79,Active
EMP000258,"Manish Patel",BR0822,Manager,Loans,2022-04-13,161425.74,Unknown
EMP000259,"Vikas Rathore",BR0327,"Relationship Manager",Operations,2024-02-15,139565.99,Active
EMP000260,"Anjali Kumar",BR0573,"Relationship Manager",Sales,2023-06-13,132443.97,Active
EMP000261,"Sneha Yadav",BR0539,Manager,IT,2023-05-31,170142.65,Unknown
EMP000262,"Meena Agarwal",BR0705,Manager,"Customer Service",2022-09-02,86392.76,Unknown
EMP000263,"Kavita Agarwal",BR0277,Officer,Loans,2024-03-16,119941.55,Inactive
EMP000264,"Vikas Malhotra",BR0997,"Senior Officer",IT,2022-08-08,67282.99,Active
EMP000265,"Sneha Tiwari",BR0501,"Relationship Manager",Loans,2023-03-08,63034.55,Active
EMP000266,"Pooja Mishra",BR0402,Officer,HR,2023-12-30,129520.95,Unknown
EMP000267,"Manish Yadav",BR0612,Clerk,Loans,2025-06-19,125543.48,Active
EMP000268,"Sneha Kumar",BR0329,"Assistant Manager",HR,2025-03-24,51678.43,Active
EMP000269,"Nikhil Verma",BR0550,"Relationship Manager",Sales,2023-06-24,47301.95,Active
EMP000270,"Meena Agarwal",BR0260,"Senior Officer",Finance,2025-08-01,84659.13,Active
EMP000271,"Shreya Kumar",BR0654,Clerk,Finance,2022-09-01,47117.65,Inactive
EMP000272,"Arjun Agarwal",BR0917,Clerk,HR,2022-11-25,86324.40,Active
EMP000273,"Priya Saini",BR0529,"Relationship Manager",IT,2025-11-27,40325.36,Active
EMP000274,"Manish Agarwal",BR0200,"Senior Officer",HR,2025-01-30,75121.25,Inactive
EMP000275,"Neha Agarwal",BR0186,"Relationship Manager",Operations,0000-00-00,107009.97,Inactive
EMP000276,"Priya Malhotra",BR0574,"Senior Officer","Customer Service",2023-04-27,150497.05,Active
EMP000277,"Anjali Saini",BR0525,"Senior Officer","Customer Service",2025-08-17,163103.69,Unknown
EMP000278,"Simran Mehta",BR0635,Manager,Finance,2023-06-21,127398.17,Unknown
EMP000279,"Rohit Bansal",BR0316,"Relationship Manager","Customer Service",2023-10-18,129131.64,Active
EMP000280,"Pooja Kumar",BR0953,"Relationship Manager",Loans,2025-12-05,165242.96,Active
EMP000281,"Simran Gupta",BR0232,Manager,IT,2023-10-30,40357.99,Active
EMP000282,"Komal Jain",BR0768,"Relationship Manager",Operations,2023-05-06,50364.25,Inactive
EMP000283,"Vikas Agarwal",BR0946,Officer,"Customer Service",2025-01-22,170136.34,Unknown
EMP000284,"Nikhil Agarwal",BR0968,Manager,"Customer Service",2023-02-03,53206.64,Unknown
EMP000285,"Anjali Verma",BR0812,"Assistant Manager",Operations,2024-12-10,104748.59,Active
EMP000286,"Neha Malhotra",BR0953,"Relationship Manager",Finance,2025-02-28,154085.67,Active
EMP000287,"Komal Yadav",BR0524,"Relationship Manager",IT,2024-10-04,77346.16,Active
EMP000288,"Meena Malhotra",BR0078,"Assistant Manager",Sales,2025-11-11,65618.01,Unknown
EMP000289,"Kavita Joshi",BR0541,Manager,Operations,2025-12-21,39239.28,Inactive
EMP000290,"Shreya Patel",BR0483,Clerk,Loans,2025-07-27,136966.41,Active
EMP000291,"Suresh Malhotra",BR0738,"Relationship Manager",Operations,2022-07-28,176123.64,Unknown
EMP000292,"Nikhil Sharma",BR0307,Manager,Sales,2024-12-14,49318.70,Inactive
