Card_ID,Customer_ID,Account_ID,Card_Type,Card_Last_6,Issue_Date,Expiry_Date,Card_Status
CARD0000066,CUST082346,ACC0118049,Credit,619190,2023-11-26,2023-11-26,Closed
CARD0000067,CUST042097,ACC0009550,Prepaid,624026,2024-12-07,2024-12-07,Dormant
CARD0000068,CUST099537,ACC0045119,Prepaid,453761,2022-08-10,2022-08-10,Unknown
CARD0000069,CUST014927,ACC0076475,Debit,693205,2025-11-17,2025-11-17,Unknown
CARD0000070,CUST026964,ACC0105039,Prepaid,889121,2024-11-18,2024-11-18,Active
CARD0000071,CUST094818,ACC0030796,Prepaid,484820,2025-02-11,2025-02-11,Unknown
CARD0000072,CUST034432,ACC0068931,Credit,871986,2024-07-02,2024-07-02,Active
CARD0000073,CUST090354,ACC0126797,Credit,882321,2024-03-15,2024-03-15,Closed
CARD0000074,CUST098304,ACC0040075,Credit,932015,2024-10-06,2024-10-06,Unknown
CARD0000075,CUST033043,ACC0031108,Debit,640542,2025-07-15,2025-07-15,Unknown
CARD0000076,CUST019484,ACC0011384,Debit,947462,2024-01-10,2024-01-10,Active
CARD0000077,CUST091300,ACC0039331,Debit,661037,2023-04-10,2023-04-10,Unknown
CARD0000078,CUST047325,ACC0007947,Prepaid,573627,2025-04-06,2025-04-06,Dormant
CARD0000079,CUST023549,ACC0083311,Credit,622238,2025-03-05,2025-03-05,Unknown
CARD0000080,CUST078878,ACC0124939,Debit,531758,2024-12-20,2024-12-20,Closed
CARD0000081,CUST007107,ACC0103475,Unknown,610094,2022-12-10,2022-12-10,Unknown
CARD0000082,CUST054966,ACC0046998,Unknown,402246,2025-03-31,2025-03-31,Inactive
CARD0000083,CUST047958,ACC0014030,Debit,906239,2022-07-21,2022-07-21,Inactive
CARD0000084,CUST010904,ACC0117041,Credit,555733,2022-09-23,2022-09-23,Unknown
CARD0000085,CUST020680,ACC0117721,Debit,577664,2023-05-29,2023-05-29,Unknown
CARD0000086,CUST001869,ACC0019817,Prepaid,502429,2022-12-06,2022-12-06,Dormant
CARD0000087,CUST024543,ACC0094681,Credit,821899,2022-02-01,2022-02-01,Active
CARD0000088,CUST005372,ACC0118821,Prepaid,854063,2022-09-29,2022-09-29,Unknown
CARD0000089,CUST092195,ACC0043286,Credit,805130,2024-11-08,2024-11-08,Dormant
CARD0000090,CUST043914,ACC0015776,Debit,668692,2024-12-24,2024-12-24,Unknown
CARD0000091,CUST092913,ACC0121308,Credit,473133,2022-09-24,2022-09-24,Active
CARD0000092,CUST044751,ACC0121509,Debit,976565,2022-06-25,2022-06-25,Inactive
CARD0000093,CUST041407,ACC0060803,Prepaid,537266,2022-06-30,2022-06-30,Dormant
CARD0000094,CUST095477,ACC0075416,Prepaid,741307,2023-04-23,2023-04-23,Inactive
CARD0000095,CUST000921,ACC0059972,Credit,984884,2025-06-26,2025-06-26,Unknown
CARD0000096,CUST048656,ACC0039827,Debit,916279,2022-12-30,2022-12-30,Active
CARD0000097,CUST033785,ACC0008609,Debit,582233,2022-07-20,2022-07-20,Dormant
CARD0000098,CUST007197,ACC0104718,Prepaid,901386,2023-04-19,2023-04-19,Unknown
CARD0000099,CUST072042,ACC0046980,Unknown,469170,2022-03-13,2022-03-13,Unknown
CARD0000100,CUST066551,ACC0064490,Debit,541114,2023-02-13,2023-02-13,Inactive
CARD0000101,CUST080809,ACC0055472,Debit,444119,2025-03-24,2025-03-24,Closed
CARD0000102,CUST004786,ACC0033684,Unknown,612109,2024-10-28,2024-10-28,Active
CARD0000103,CUST080339,ACC0037510,Credit,981750,2023-07-29,2023-07-29,Active
CARD0000104,CUST062568,ACC0006080,Credit,614183,2025-09-23,2025-09-23,Unknown
CARD0000105,CUST045712,ACC0114373,Credit,452778,2024-05-11,2024-05-11,Closed
CARD0000106,CUST093644,ACC0090729,Prepaid,569461,2025-12-21,2025-12-21,Active
CARD0000107,CUST040600,ACC0079946,Unknown,603009,2022-02-15,2022-02-15,Inactive
CARD0000108,CUST076766,ACC0113669,Debit,741169,2025-12-01,2025-12-01,Active
CARD0000109,CUST095938,ACC0044436,Debit,476943,2023-08-15,2023-08-15,Active
CARD0000110,CUST072156,ACC0078219,Credit,965650,2023-07-23,2023-07-23,Closed
CARD0000111,CUST061092,ACC0086086,Debit,481268,2022-05-19,2022-05-19,Active
CARD0000112,CUST016233,ACC0077330,Debit,914193,2024-08-12,2024-08-12,Active
CARD0000113,CUST062882,ACC0106323,Debit,980704,2025-11-27,2025-11-27,Active
CARD0000114,CUST025105,ACC0009331,Prepaid,502210,2025-12-31,2025-12-31,Closed
CARD0000115,CUST023162,ACC0071606,Debit,810818,2024-06-07,2024-06-07,Dormant
CARD0000116,CUST081902,ACC0074777,Debit,975048,2024-02-06,2024-02-06,Unknown
CARD0000117,CUST027312,ACC0008869,Credit,666089,2023-08-06,2023-08-06,Closed
CARD0000118,CUST026987,ACC0025130,Debit,747552,2023-03-11,2023-03-11,Inactive
CARD0000119,CUST038747,ACC0008506,Debit,891362,2024-11-25,2024-11-25,Closed
CARD0000120,CUST092199,ACC0006644,Credit,872020,2024-10-01,2024-10-01,Active
CARD0000121,CUST051211,ACC0068845,Debit,711262,2023-07-04,2023-07-04,Active
CARD0000122,CUST007223,ACC0125876,Debit,791463,2023-05-26,2023-05-26,Closed
CARD0000123,CUST006818,ACC0028551,Debit,825472,2022-02-12,2022-02-12,Closed
CARD0000124,CUST001196,ACC0090213,Credit,473312,2025-03-30,2025-03-30,Unknown
CARD0000125,CUST023662,ACC0021252,Credit,551011,2023-11-24,2023-11-24,Active
CARD0000126,CUST088948,ACC0056184,Prepaid,841705,2024-06-22,2024-06-22,Dormant
CARD0000127,CUST009279,ACC0125877,Debit,677815,2025-05-13,2025-05-13,Unknown
CARD0000128,CUST045649,ACC0119269,Debit,973519,2024-10-04,2024-10-04,Unknown
CARD0000129,CUST055262,ACC0023933,Prepaid,592804,2023-05-12,0000-00-00,Closed
CARD0000130,CUST059541,ACC0024369,Credit,922011,2023-05-30,2023-05-30,Active
CARD0000131,CUST093004,ACC0059167,Debit,944828,2022-11-08,2022-11-08,Active
CARD0000132,CUST020713,ACC0065158,Prepaid,477409,2023-06-07,2023-06-07,Closed
CARD0000133,CUST039023,ACC0008538,Prepaid,905784,2024-07-18,2024-07-18,Unknown
CARD0000134,CUST008605,ACC0055505,Unknown,800292,2022-12-19,2022-12-19,Unknown
CARD0000135,CUST084302,ACC0022102,Debit,471791,2023-07-11,2023-07-11,Inactive
CARD0000136,CUST098158,ACC0079281,Unknown,841885,2025-07-11,2025-07-11,Active
CARD0000137,CUST084495,ACC0027533,Debit,796944,2022-12-10,2022-12-10,Unknown
CARD0000138,CUST031655,ACC0117638,Debit,464896,2023-10-10,2023-10-10,Active
CARD0000139,CUST015929,ACC0083264,Credit,414160,2024-11-30,2024-11-30,Inactive
CARD0000140,CUST050106,ACC0023056,Credit,416303,2023-08-16,2023-08-16,Active
CARD0000141,CUST042290,ACC0101410,Debit,592175,2022-03-06,2022-03-06,Inactive
CARD0000142,CUST050785,ACC0085407,Credit,999186,2024-05-02,2024-05-02,Unknown
CARD0000143,CUST060560,ACC0107549,Prepaid,474079,2023-05-02,2023-05-02,Unknown
CARD0000144,CUST081843,ACC0112806,Debit,488698,2024-08-19,2024-08-19,Dormant
CARD0000145,CUST092072,ACC0059311,Unknown,746355,2025-10-07,2025-10-07,Unknown
CARD0000146,CUST093272,ACC0126571,Unknown,768108,2022-06-03,2022-06-03,Closed
CARD0000147,CUST060107,ACC0006931,Credit,712476,2022-06-14,2022-06-14,Active
CARD0000148,CUST032436,ACC0099396,Unknown,545112,2022-08-01,2022-08-01,Unknown
CARD0000149,CUST033248,ACC0096873,Credit,419460,2024-10-26,2024-10-26,Unknown
CARD0000150,CUST033513,ACC0102708,Credit,480249,2022-11-27,2022-11-27,Dormant
CARD0000151,CUST018686,ACC0010590,Credit,651342,2025-08-12,2025-08-12,Dormant
CARD0000152,CUST077770,ACC0037483,Prepaid,742570,2022-10-11,2022-10-11,Dormant
CARD0000153,CUST066058,ACC0095039,Debit,491353,2023-06-14,2023-06-14,Inactive
CARD0000154,CUST052859,ACC0030103,Unknown,947729,2024-03-26,2024-03-26,Active
CARD0000155,CUST078667,ACC0078904,Credit,482605,2025-02-01,2025-02-01,Active
CARD0000156,CUST020627,ACC0067442,Credit,829285,2025-05-03,2025-05-03,Active
CARD0000157,CUST027470,ACC0038773,Credit,490653,2025-04-09,2025-04-09,Unknown
CARD0000158,CUST097868,ACC0070779,Unknown,856324,2022-05-17,2022-05-17,Active
CARD0000159,CUST027139,ACC0097884,Credit,755592,2025-12-23,2025-12-23,Active
CARD0000160,CUST041719,ACC0026751,Prepaid,500317,2024-10-21,2024-10-21,Unknown
CARD0000161,CUST094057,ACC0118339,Credit,649366,2024-10-11,2024-10-11,Active
CARD0000162,CUST038934,ACC0086936,Debit,831846,2024-09-27,2024-09-27,Unknown
CARD0000163,CUST008411,ACC0019616,Debit,573836,2022-05-30,2022-05-30,Active
CARD0000164,CUST087660,ACC0123588,Debit,787847,2023-06-18,0000-00-00,Unknown
CARD0000165,CUST082887,ACC0121987,Unknown,876426,2023-04-21,2023-04-21,Active
CARD0000166,CUST008018,ACC0111543,Unknown,447832,2023-02-01,2023-02-01,Dormant
CARD0000167,CUST016696,ACC0031897,Debit,639417,2024-08-27,2024-08-27,Unknown
CARD0000168,CUST070114,ACC0058570,Credit,816550,2024-10-15,2024-10-15,Active
CARD0000169,CUST076387,ACC0128666,Prepaid,683002,2023-08-03,2023-08-03,Unknown
CARD0000170,CUST063108,ACC0095946,Unknown,969240,2023-06-09,0000-00-00,Active
CARD0000171,CUST000479,ACC0040061,Debit,776984,2023-03-27,2023-03-27,Active
CARD0000172,CUST058273,ACC0048110,Unknown,599643,2024-01-23,2024-01-23,Unknown
CARD0000173,CUST003231,ACC0041599,Credit,571467,2025-02-06,2025-02-06,Active
CARD0000174,CUST040130,ACC0009338,Debit,450646,2024-12-18,2024-12-18,Closed
CARD0000175,CUST097267,ACC0081804,Unknown,886538,2024-12-19,2024-12-19,Unknown
CARD0000176,CUST091850,ACC0093810,Credit,575347,2023-06-05,0000-00-00,Active
CARD0000177,CUST098202,ACC0025206,Debit,868152,2024-10-04,2024-10-04,Closed
CARD0000178,CUST056887,ACC0036831,Unknown,650640,2025-11-28,2025-11-28,Unknown
CARD0000179,CUST029037,ACC0010127,Credit,597293,2023-10-08,2023-10-08,Active
CARD0000180,CUST011956,ACC0027603,Credit,911216,2022-03-11,0000-00-00,Dormant
CARD0000181,CUST082213,ACC0076727,Credit,602125,2023-04-23,2023-04-23,Active
CARD0000182,CUST021138,ACC0025772,Debit,456506,2024-08-05,2024-08-05,Closed
CARD0000183,CUST026957,ACC0062266,Credit,929787,2025-04-18,2025-04-18,Dormant
CARD0000184,CUST057748,ACC0115700,Credit,964266,2024-10-27,2024-10-27,Dormant
CARD0000185,CUST096474,ACC0096522,Unknown,474224,2023-02-26,2023-02-26,Unknown
CARD0000186,CUST099129,ACC0105661,Unknown,649813,2024-03-31,2024-03-31,Unknown
CARD0000187,CUST038297,ACC0126330,Debit,992788,2024-11-08,2024-11-08,Active
CARD0000188,CUST014752,ACC0002827,Credit,493207,2024-12-13,2024-12-13,Inactive
CARD0000189,CUST018887,ACC0118895,Debit,418636,2025-08-05,2025-08-05,Active
CARD0000190,CUST052098,ACC0008193,Credit,425072,2025-04-29,2025-04-29,Active
CARD0000191,CUST060547,ACC0071327,Credit,912195,2022-06-21,2022-06-21,Inactive
CARD0000192,CUST072003,ACC0038539,Credit,748448,2023-01-24,0000-00-00,Active
CARD0000193,CUST049155,ACC0005498,Debit,536660,2025-10-29,2025-10-29,Dormant
CARD0000194,CUST056406,ACC0049738,Credit,405658,2022-04-15,2022-04-15,Active
CARD0000195,CUST030878,ACC0051399,Debit,718628,2024-01-18,2024-01-18,Active
CARD0000196,CUST006307,ACC0053347,Debit,719992,2025-06-18,2025-06-18,Dormant
CARD0000197,CUST059821,ACC0100266,Unknown,699851,2023-01-11,2023-01-11,Active
CARD0000198,CUST056569,ACC0072753,Prepaid,926381,2024-04-08,2024-04-08,Active
CARD0000199,CUST046939,ACC0067070,Debit,582291,2024-06-22,2024-06-22,Unknown
CARD0000200,CUST031367,ACC0095000,Unknown,483093,2024-03-17,2024-03-17,Unknown
CARD0000201,CUST065445,ACC0115870,Credit,946838,2025-04-17,2025-04-17,Closed
CARD0000202,CUST057672,ACC0098207,Debit,937590,2022-07-08,2022-07-08,Active
CARD0000203,CUST081301,ACC0005646,Debit,862001,2022-03-05,2022-03-05,Active
CARD0000204,CUST005398,ACC0078843,Debit,459010,2025-06-29,2025-06-29,Inactive
CARD0000205,CUST005494,ACC0103627,Unknown,672095,2024-07-26,2024-07-26,Unknown
CARD0000206,CUST013174,ACC0112674,Credit,787501,2024-11-01,2024-11-01,Inactive
CARD0000207,CUST065205,ACC0101099,Debit,554204,2024-05-21,2024-05-21,Closed
CARD0000208,CUST012571,ACC0073754,Prepaid,707278,2023-01-28,2023-01-28,Unknown
CARD0000209,CUST020238,ACC0038558,Prepaid,736687,2024-10-06,2024-10-06,Inactive
CARD0000210,CUST043364,ACC0045875,Credit,840885,2022-08-28,2022-08-28,Active
CARD0000211,CUST029042,ACC0001735,Credit,494512,2023-11-04,2023-11-04,Active
CARD0000212,CUST022618,ACC0042682,Credit,782527,2024-06-13,2024-06-13,Inactive
CARD0000213,CUST083799,ACC0070546,Credit,818548,2023-07-23,2023-07-23,Active
CARD0000214,CUST054151,ACC0084498,Prepaid,842095,2023-03-10,2023-03-10,Active
CARD0000215,CUST012083,ACC0004491,Debit,503798,2025-06-03,2025-06-03,Closed
CARD0000216,CUST057995,ACC0094270,Debit,660648,2022-05-25,2022-05-25,Unknown
CARD0000217,CUST053656,ACC0066850,Unknown,873694,2025-08-26,2025-08-26,Inactive
CARD0000218,CUST058562,ACC0065495,Credit,710757,2022-03-04,2022-03-04,Unknown
CARD0000219,CUST035438,ACC0054594,Credit,703259,2025-01-18,2025-01-18,Unknown
CARD0000220,CUST069490,ACC0128947,Unknown,651568,2022-12-05,2022-12-05,Unknown
CARD0000221,CUST040170,ACC0064242,Debit,453119,2024-12-21,2024-12-21,Unknown
CARD0000222,CUST058282,ACC0118182,Debit,401793,2022-09-10,2022-09-10,Unknown
CARD0000223,CUST031457,ACC0121623,Debit,496944,2024-02-14,2024-02-14,Closed
CARD0000224,CUST070743,ACC0062297,Debit,691307,2022-08-23,2022-08-23,Closed
CARD0000225,CUST092262,ACC0112619,Unknown,897457,2023-03-01,2023-03-01,Active
CARD0000226,CUST080915,ACC0006371,Unknown,634316,2025-10-23,2025-10-23,Active
CARD0000227,CUST088054,ACC0096145,Credit,573540,2024-08-23,2024-08-23,Unknown
CARD0000228,CUST019447,ACC0088424,Debit,545234,2022-07-08,2022-07-08,Unknown
CARD0000229,CUST001379,ACC0106004,Credit,968007,2025-10-04,2025-10-04,Closed
CARD0000230,CUST050432,ACC0116453,Credit,729406,2023-09-01,0000-00-00,Dormant
CARD0000231,CUST005077,ACC0077287,Debit,951963,2023-12-10,2023-12-10,Dormant
CARD0000232,CUST009778,ACC0087746,Debit,867008,2023-09-02,2023-09-02,Unknown
CARD0000233,CUST008816,ACC0102071,Unknown,421665,2025-04-21,2025-04-21,Unknown
CARD0000234,CUST058445,ACC0046948,Credit,606049,2023-08-17,2023-08-17,Inactive
CARD0000235,CUST079737,ACC0114665,Debit,416796,2025-08-17,2025-08-17,Active
CARD0000236,CUST038304,ACC0017191,Debit,892021,2022-02-10,2022-02-10,Unknown
CARD0000237,CUST063434,ACC0032549,Credit,483972,2025-04-29,2025-04-29,Closed
CARD0000238,CUST042414,ACC0031559,Credit,459308,2022-11-20,2022-11-20,Closed
CARD0000239,CUST042683,ACC0079645,Debit,687932,2025-01-24,2025-01-24,Active
CARD0000240,CUST016428,ACC0064938,Credit,659473,2023-06-15,2023-06-15,Unknown
CARD0000241,CUST051268,ACC0086237,Credit,906243,2022-01-14,2022-01-14,Active
CARD0000242,CUST006165,ACC0097235,Debit,812653,2023-03-15,2023-03-15,Unknown
CARD0000243,CUST034857,ACC0104463,Credit,723095,2025-12-11,2025-12-11,Active
CARD0000244,CUST043885,ACC0110642,Credit,934840,2025-11-16,2025-11-16,Dormant
CARD0000245,CUST085536,ACC0047681,Debit,466713,2025-06-30,2025-06-30,Unknown
CARD0000246,CUST017986,ACC0086345,Credit,992227,2025-09-20,2025-09-20,Unknown
CARD0000247,CUST054782,ACC0094807,Credit,984376,2025-07-02,2025-07-02,Closed
CARD0000248,CUST014934,ACC0056892,Unknown,615148,2023-10-26,2023-10-26,Unknown
CARD0000249,CUST043353,ACC0079668,Credit,593174,2022-07-30,2022-07-30,Active
CARD0000250,CUST037689,ACC0127080,Debit,434740,2023-06-12,2023-06-12,Inactive
CARD0000251,CUST079905,ACC0070529,Unknown,890048,2023-04-12,2023-04-12,Dormant
CARD0000252,CUST018870,ACC0104195,Credit,953514,2025-10-31,2025-10-31,Active
CARD0000253,CUST052883,ACC0101909,Credit,789731,2022-07-08,2022-07-08,Unknown
CARD0000254,CUST023916,ACC0114236,Credit,825251,2023-12-19,2023-12-19,Unknown
CARD0000255,CUST088004,ACC0055050,Prepaid,459529,2022-03-08,2022-03-08,Unknown
CARD0000256,CUST043044,ACC0093473,Debit,985139,2023-08-16,2023-08-16,Active
CARD0000257,CUST072926,ACC0018126,Unknown,834010,2023-05-23,2023-05-23,Unknown
CARD0000258,CUST077824,ACC0082457,Credit,868180,2025-05-04,2025-05-04,Closed
CARD0000259,CUST080809,ACC0000743,Debit,523394,2025-01-09,2025-01-09,Inactive
CARD0000260,CUST026475,ACC0064214,Unknown,450252,2022-11-24,2022-11-24,Active
CARD0000261,CUST074412,ACC0100599,Unknown,733573,2024-07-03,2024-07-03,Active
CARD0000262,CUST096499,ACC0090024,Debit,709363,2023-12-26,2023-12-26,Active
CARD0000263,CUST077599,ACC0043134,Debit,598357,2025-08-06,2025-08-06,Closed
CARD0000264,CUST087747,ACC0082075,Unknown,606693,2022-10-22,2022-10-22,Unknown
CARD0000265,CUST049356,ACC0084702,Credit,946187,2025-08-03,2025-08-03,Inactive
CARD0000266,CUST090929,ACC0125481,Prepaid,910341,2025-05-07,2025-05-07,Inactive
CARD0000267,CUST076903,ACC0128163,Credit,805537,2024-07-04,2024-07-04,Closed
CARD0000268,CUST004761,ACC0125813,Credit,781296,2025-09-21,2025-09-21,Unknown
CARD0000269,CUST044853,ACC0062892,Unknown,729374,2022-01-01,2022-01-01,Active
CARD0000270,CUST071850,ACC0116226,Prepaid,555801,2025-04-11,2025-04-11,Dormant
CARD0000271,CUST012041,ACC0013413,Prepaid,674275,2024-07-08,2024-07-08,Inactive
CARD0000272,CUST016238,ACC0119590,Prepaid,624986,2024-01-29,0000-00-00,Active
CARD0000273,CUST038308,ACC0128152,Credit,763590,2023-10-31,2023-10-31,Dormant
CARD0000274,CUST010425,ACC0072309,Credit,759520,2025-10-25,2025-10-25,Dormant
CARD0000275,CUST038107,ACC0063757,Prepaid,956902,2024-04-28,2024-04-28,Unknown
CARD0000276,CUST088449,ACC0077931,Prepaid,460850,2023-11-09,2023-11-09,Unknown
CARD0000277,CUST073879,ACC0038539,Debit,844491,2024-06-22,2024-06-22,Unknown
CARD0000278,CUST049610,ACC0124031,Debit,789747,2025-03-21,2025-03-21,Unknown
CARD0000279,CUST019086,ACC0065332,Credit,519852,2022-12-14,2022-12-14,Inactive
CARD0000280,CUST042432,ACC0099746,Credit,915346,2022-08-30,2022-08-30,Unknown
CARD0000281,CUST052435,ACC0124390,Credit,456300,2025-11-06,2025-11-06,Inactive
CARD0000282,CUST014223,ACC0010957,Credit,524820,2022-08-17,2022-08-17,Inactive
CARD0000283,CUST085781,ACC0066995,Debit,985955,2023-08-22,2023-08-22,Active
CARD0000284,CUST038346,ACC0124696,Credit,410756,2024-06-24,2024-06-24,Unknown
CARD0000285,CUST073473,ACC0077765,Debit,620994,2025-10-27,2025-10-27,Inactive
CARD0000286,CUST049065,ACC0004225,Credit,760729,2024-10-24,2024-10-24,Dormant
CARD0000287,CUST073495,ACC0062209,Prepaid,965682,2022-02-09,2022-02-09,Active
CARD0000288,CUST098700,ACC0105573,Credit,550387,2022-12-09,2022-12-09,Unknown
CARD0000289,CUST028329,ACC0103199,Credit,907420,2023-11-30,2023-11-30,Dormant
CARD0000290,CUST058931,ACC0015597,Credit,577724,2022-04-06,2022-04-06,Dormant
CARD0000291,CUST089525,ACC0028162,Credit,727383,2024-09-22,2024-09-22,Active
CARD0000292,CUST054614,ACC0031385,Prepaid,970607,2022-01-26,2022-01-26,Active
CARD0000293,CUST048777,ACC0035734,Credit,841380,2024-08-06,2024-08-06,Active
CARD0000294,CUST088048,ACC0128378,Prepaid,668745,2023-08-25,2023-08-25,Inactive
CARD0000295,CUST076147,ACC0029578,Debit,590798,2025-08-26,2025-08-26,Active
CARD0000296,CUST012208,ACC0067752,Debit,409537,2025-02-15,2025-02-15,Dormant
CARD0000297,CUST074353,ACC0101734,Prepaid,585791,2023-09-01,2023-09-01,Closed
CARD0000298,CUST037371,ACC0118187,Credit,904647,2025-01-26,2025-01-26,Active
CARD0000299,CUST017213,ACC0061812,Prepaid,621356,2023-05-13,2023-05-13,Inactive
CARD0000300,CUST043493,ACC0084058,Unknown,814889,2025-08-27,2025-08-27,Active
CARD0000301,CUST095633,ACC0017361,Debit,693141,2022-03-16,2022-03-16,Unknown
CARD0000302,CUST062422,ACC0116721,Prepaid,876268,2024-10-30,2024-10-30,Unknown
CARD0000303,CUST078321,ACC0086561,Prepaid,500416,2024-01-15,2024-01-15,Active
