Account_ID,Customer_ID,Account_Number,Account_type,Branch_ID,Opening_Date,Balance,Account_Status
ACC0000067,CUST095636,5636067937,Savings,BR0955,2025-03-11,4159756.10,Dormant
ACC0000068,CUST004656,7097822416,Current,BR0587,2024-08-29,1298386.40,Active
ACC0000069,CUST018383,8951280236,"Recurring deposit",BR0050,2024-03-05,2544176.43,Unknown
ACC0000070,CUST053967,3900526568,Unknown,BR0948,2025-03-19,194392.71,Closed
ACC0000071,CUST019370,5212184357,Savings,BR0118,2024-03-03,4507678.51,Active
ACC0000072,CUST099979,5331628122,Current,BR0248,2024-11-10,2954848.02,Active
ACC0000073,CUST062799,1799109364,Savings,BR0427,2023-11-05,4537430.22,Dormant
ACC0000074,CUST098103,7589919177,"Fixed deposit",BR0625,2025-08-13,4202232.27,Unknown
ACC0000075,CUST027913,9072627436,Savings,BR0131,2024-10-11,1803056.41,Inactive
ACC0000076,CUST069167,6891875396,Salary,BR0818,2022-08-09,1330648.02,Inactive
ACC0000077,CUST028443,2138846463,"Recurring deposit",BR0930,2022-06-08,0.00,Unknown
ACC0000078,CUST083127,7318838917,Unknown,BR0134,2025-01-03,2249564.11,Dormant
ACC0000079,CUST015950,3095070321,"Recurring deposit",BR0311,2022-06-14,678903.98,Unknown
ACC0000080,CUST055134,1909429564,"Fixed deposit",BR0996,2022-05-05,2391829.05,Unknown
ACC0000081,CUST052602,9953155039,Salary,BR0681,2025-04-26,1730872.06,Unknown
ACC0000082,CUST034186,9983325273,Current,BR0348,2023-01-24,4005470.04,Inactive
ACC0000083,CUST049677,6192466774,"Recurring deposit",BR0274,NULL,3024762.31,Closed
ACC0000084,CUST070659,8434523135,Salary,BR0988,2025-11-21,4538043.47,Closed
ACC0000085,CUST027286,8534473598,Current,BR0191,2024-10-04,2114306.78,Dormant
ACC0000086,CUST024507,4878444747,"Fixed deposit",BR0491,2023-06-08,330992.95,Closed
ACC0000087,CUST070600,7417047798,Current,BR0782,2025-09-29,2315760.83,Inactive
ACC0000088,CUST057015,3356900168,"Fixed deposit",BR0097,2022-10-30,1954722.02,Active
ACC0000089,CUST077444,3844787749,Current,BR0068,2023-12-19,3667146.75,Inactive
ACC0000090,CUST011666,4970454236,Salary,BR0821,2025-09-28,1952201.99,Dormant
ACC0000091,CUST058607,9068609878,"Fixed deposit",BR0433,2025-05-19,4478195.29,Active
ACC0000092,CUST001944,5716361889,Savings,BR0612,2024-03-30,2500040.96,Closed
ACC0000093,CUST027555,1450674968,"Fixed deposit",BR0424,2025-04-26,4623162.14,Dormant
ACC0000094,CUST038956,5771657162,Current,BR0172,2023-08-16,2345269.37,Dormant
ACC0000095,CUST056802,8123134352,Salary,BR0705,2025-04-30,86406.33,Active
ACC0000096,CUST046125,3932297100,Salary,BR0589,2023-09-06,3012644.19,Unknown
ACC0000097,CUST026008,2330983654,Unknown,BR0526,2024-10-19,3505225.32,Active
ACC0000098,CUST058931,3673228227,"Recurring deposit",BR0912,2022-12-04,934571.99,Unknown
ACC0000099,CUST064306,4638744932,Current,BR0063,2024-10-09,4753142.88,Unknown
ACC0000100,CUST026773,2682304927,Unknown,BR0104,2023-06-08,867029.51,Active
ACC0000101,CUST017047,1723143211,Savings,BR0614,2024-01-17,1891463.11,Active
ACC0000102,CUST061993,1048962078,"Fixed deposit",BR0024,2025-11-17,1250635.64,Active
ACC0000103,CUST051815,3133805729,"Fixed deposit",BR0969,2023-10-22,3530811.19,Closed
ACC0000104,CUST081642,5771264733,Unknown,BR0968,2022-03-19,3657554.45,Closed
ACC0000105,CUST007904,3748395548,Salary,BR0442,2025-10-27,1559101.73,Dormant
ACC0000106,CUST020067,3326418579,"Fixed deposit",BR0820,2024-10-22,2584547.07,Inactive
ACC0000107,CUST054990,6655331741,Salary,BR0373,2025-08-24,2837431.00,Active
ACC0000108,CUST060485,2829759619,Unknown,BR0083,2022-03-07,574120.81,Active
ACC0000109,CUST013249,2102019508,Current,BR0798,2022-08-31,0.00,Closed
ACC0000110,CUST050821,2510622682,"Fixed deposit",BR0507,2024-06-26,657806.06,Unknown
ACC0000111,CUST081519,3588503056,"Recurring deposit",BR0225,2023-02-22,1693362.31,Unknown
ACC0000112,CUST070311,7095588528,"Fixed deposit",BR0987,2025-12-11,1242832.50,Dormant
ACC0000113,CUST089017,9098723311,Salary,BR0425,2025-08-19,987106.14,Inactive
ACC0000114,CUST027938,5877227897,"Fixed deposit",BR0364,2024-09-14,4597704.20,Inactive
ACC0000115,CUST052490,7868695343,"Fixed deposit",BR0206,2025-04-02,0.00,Dormant
ACC0000116,CUST038354,1414524033,Unknown,BR0989,2024-01-19,1492150.11,Closed
ACC0000117,CUST086319,1613988842,Salary,BR0599,2025-12-24,3888574.70,Dormant
ACC0000118,CUST017770,3126372942,Salary,BR0510,2025-06-08,4595081.96,Unknown
ACC0000119,CUST054870,9520023832,Savings,BR0059,2023-11-19,298816.76,Closed
ACC0000120,CUST027169,1071209375,Salary,BR0009,2025-03-08,2973742.04,Unknown
ACC0000121,CUST015385,8466234446,Current,BR0851,2023-12-23,659696.63,Unknown
ACC0000122,CUST013093,6093946877,Unknown,BR0174,2024-10-09,537922.34,Closed
ACC0000123,CUST076760,9870522085,Current,BR0400,2025-04-17,3742752.22,Dormant
ACC0000124,CUST006100,8642518860,Current,BR0463,2023-01-05,78572.73,Unknown
ACC0000125,CUST063221,8546968722,"Fixed deposit",BR0490,2022-10-25,644229.56,Unknown
ACC0000126,CUST060061,3678117319,"Fixed deposit",BR0568,2024-06-26,2012530.27,Closed
ACC0000127,CUST051306,6596358185,Savings,BR0700,2025-08-11,4195055.89,Inactive
ACC0000128,CUST044891,3162794510,Current,BR0360,2022-09-24,251206.96,Dormant
ACC0000129,CUST053722,8816020377,Unknown,BR0469,2022-08-24,1477669.19,Active
ACC0000130,CUST030817,1626282523,Current,BR0358,2023-05-21,1636556.70,Unknown
ACC0000131,CUST083538,3289065242,Unknown,BR0095,2022-12-29,957459.96,Unknown
ACC0000132,CUST086392,9603517298,Current,BR0971,2022-05-13,2737805.30,Unknown
ACC0000133,CUST034002,8419949341,"Fixed deposit",BR0528,2025-02-22,692289.12,Unknown
ACC0000134,CUST088917,9738396131,Savings,BR0091,2024-05-23,4130534.09,Active
ACC0000135,CUST088828,3682567433,Current,BR0025,2025-12-07,3562477.01,Dormant
ACC0000136,CUST013794,5820526576,Current,BR0728,2024-09-16,1041121.77,Unknown
ACC0000137,CUST005192,1482310614,Savings,BR0538,2025-05-13,4890780.72,Dormant
ACC0000138,CUST012388,5765015990,Current,BR0662,2023-08-20,4820133.16,Dormant
ACC0000139,CUST051162,1042678953,"Recurring deposit",BR0367,2022-01-29,4421072.02,Active
ACC0000140,CUST045585,2623202046,"Recurring deposit",BR0673,2022-05-06,3087263.95,Inactive
ACC0000141,CUST010117,2150954287,Savings,BR0217,2025-01-12,44867.59,Dormant
ACC0000142,CUST018146,9882237720,Salary,BR0480,2022-08-14,2417661.41,Active
ACC0000143,CUST026985,7670479774,Unknown,BR0162,2025-07-20,2384612.45,Active
ACC0000144,CUST007859,4299130270,"Fixed deposit",BR0497,2024-11-03,760922.73,Dormant
ACC0000145,CUST096743,6266954808,"Fixed deposit",BR0427,2022-02-10,1699925.41,Inactive
ACC0000146,CUST090682,9386772210,Salary,BR0860,2025-02-07,331424.35,Unknown
ACC0000147,CUST000914,2232634028,Savings,BR0112,2024-09-11,2481050.91,Active
ACC0000148,CUST065488,6614747006,Current,BR0905,2022-10-10,1104427.04,Unknown
ACC0000149,CUST056662,6939741831,Current,BR0348,2022-02-17,503054.24,Inactive
ACC0000150,CUST061457,4294035598,Current,BR0051,2024-08-13,4345502.20,Closed
ACC0000151,CUST079875,9017746797,Savings,BR0429,2024-10-03,505183.30,Unknown
ACC0000152,CUST002191,8319209737,Savings,BR0094,2025-10-20,30970.85,Inactive
ACC0000153,CUST020329,8968778168,Savings,BR0603,2022-07-09,1742192.61,Dormant
ACC0000154,CUST022196,1235153177,Savings,BR0619,2022-01-15,1583755.08,Inactive
ACC0000155,CUST091288,9444484261,Salary,BR0861,2023-06-18,1378028.57,Unknown
ACC0000156,CUST073443,8810750318,Savings,BR0129,2022-02-08,2440085.39,Active
ACC0000157,CUST072045,5305398193,"Recurring deposit",BR0152,2022-12-25,3993221.88,Active
ACC0000158,CUST047204,5886854905,Unknown,BR0641,2023-11-21,4138140.67,Unknown
ACC0000159,CUST029480,8625285227,"Recurring deposit",BR0841,2023-09-24,1822929.83,Inactive
ACC0000160,CUST099858,4731272693,Salary,BR0406,2025-06-17,4442411.56,Active
ACC0000161,CUST078421,3305382954,"Fixed deposit",BR0252,2022-03-21,1282923.64,Active
ACC0000162,CUST079546,3874466454,Current,BR0120,2025-01-31,126212.60,Active
ACC0000163,CUST099601,4227368250,Unknown,BR0363,2023-01-26,627794.76,Dormant
ACC0000164,CUST052505,4118602131,Salary,BR0478,2025-05-28,2275330.48,Unknown
ACC0000165,CUST056143,8185969855,Unknown,BR0217,2023-05-31,692496.69,Unknown
ACC0000166,CUST018542,8117519333,Savings,BR0868,2022-11-21,186160.93,Dormant
ACC0000167,CUST011861,2737846671,Savings,BR0234,NULL,2321770.89,Active
ACC0000168,CUST067905,9525447256,Savings,BR0866,2025-10-25,1134095.95,Unknown
ACC0000169,CUST052995,7367842524,Current,BR0901,2024-03-17,1174015.82,Active
ACC0000170,CUST075350,2464211252,Unknown,BR0098,2022-12-12,1695881.60,Dormant
ACC0000171,CUST002873,5842201773,Current,BR0977,2022-12-05,1561722.45,Inactive
ACC0000172,CUST004811,7727847971,Current,BR0822,2023-03-22,192382.51,Closed
ACC0000173,CUST058550,4539073914,Current,BR0682,2024-08-31,2500993.82,Unknown
ACC0000174,CUST080883,9090018004,Savings,BR0412,2022-12-03,2376644.72,Unknown
ACC0000175,CUST014339,5547034534,Current,BR0533,2023-04-10,510100.51,Active
ACC0000176,CUST073142,8669605682,Savings,BR0166,2024-03-29,4664904.77,Unknown
ACC0000177,CUST093980,8892337119,"Recurring deposit",BR0167,2023-10-03,955722.21,Active
ACC0000178,CUST056338,1985180115,Savings,BR0362,2022-07-18,3951263.02,Inactive
ACC0000179,CUST035317,5377150466,"Recurring deposit",BR0482,2023-02-02,3050482.89,Unknown
ACC0000180,CUST044977,2142915314,Salary,BR0237,2023-01-15,401661.90,Closed
ACC0000181,CUST046634,7319082894,Current,BR0541,2023-11-05,2737667.35,Dormant
ACC0000182,CUST076123,6684430804,"Recurring deposit",BR0844,2023-09-13,2353120.47,Unknown
ACC0000183,CUST029620,1913894770,Unknown,BR0488,2024-07-08,2219809.04,Inactive
ACC0000184,CUST059196,7261684880,Current,BR0593,2025-10-19,4207765.97,Inactive
ACC0000185,CUST050886,4063719637,Salary,BR0135,2022-03-26,41910.49,Unknown
ACC0000186,CUST016291,7551870319,Savings,BR0545,2024-01-28,2241256.74,Dormant
ACC0000187,CUST026790,2801007664,"Fixed deposit",BR0526,2024-10-21,4807436.88,Active
ACC0000188,CUST016908,9656828418,Unknown,BR0207,2025-01-18,0.00,Inactive
ACC0000189,CUST015929,8568742277,Savings,BR0355,2024-04-09,1778404.76,Inactive
ACC0000190,CUST009290,4895291558,"Recurring deposit",BR0465,2025-08-16,1982524.55,Closed
ACC0000191,CUST008125,6126878305,Savings,BR0522,2022-06-12,4139951.77,Active
ACC0000192,CUST076660,4804300215,"Recurring deposit",BR0213,2025-02-02,2576626.73,Dormant
ACC0000193,CUST005211,4113379248,Current,BR0138,2025-05-16,1205504.18,Dormant
ACC0000194,CUST098415,5933253251,"Recurring deposit",BR0100,2023-08-30,3115999.11,Closed
ACC0000195,CUST087156,6583620894,Salary,BR0516,2024-11-14,4609392.36,Dormant
ACC0000196,CUST036914,4751675852,Salary,BR0081,2023-01-26,3136486.72,Closed
ACC0000197,CUST068469,5229163783,Current,BR0815,2025-12-29,349502.29,Closed
ACC0000198,CUST080799,5991749599,Savings,BR0940,2023-11-12,2723267.19,Active
ACC0000199,CUST043165,6645687167,"Fixed deposit",BR0841,2023-01-15,4234061.37,Unknown
ACC0000200,CUST065099,1091221460,Salary,BR0869,2024-08-22,1914261.12,Unknown
ACC0000201,CUST054291,7683413496,Savings,BR0522,2024-05-18,3315881.74,Active
ACC0000202,CUST040039,6072379276,Salary,BR0997,2023-03-02,4663637.77,Active
ACC0000203,CUST046282,9959826444,Savings,BR0333,2024-07-01,2602102.55,Active
ACC0000204,CUST085650,6012089721,Current,BR0768,2023-03-02,3897508.79,Active
ACC0000205,CUST040319,1311740831,"Fixed deposit",BR0821,2023-02-25,1660326.25,Inactive
ACC0000206,CUST000558,7043606781,Current,BR0740,2023-03-24,3843396.55,Unknown
ACC0000207,CUST090715,7048490771,"Recurring deposit",BR0472,2024-06-02,1462481.62,Active
ACC0000208,CUST043466,8340594995,Salary,BR0398,2023-11-24,2569324.12,Active
ACC0000209,CUST047683,5048530567,Current,BR0845,2024-06-17,2053817.52,Inactive
ACC0000210,CUST091746,6145551126,"Fixed deposit",BR0564,2024-01-07,3401930.47,Closed
ACC0000211,CUST048095,3818083590,Salary,BR0407,2025-01-31,3320132.51,Active
ACC0000212,CUST059270,2506864772,Unknown,BR0156,2022-01-07,3288821.68,Dormant
ACC0000213,CUST046547,4116174658,Unknown,BR0536,2022-03-10,527488.75,Unknown
ACC0000214,CUST054148,7116045149,"Recurring deposit",BR0193,2023-08-16,2046330.02,Dormant
ACC0000215,CUST071299,1045624381,Current,BR0272,2022-07-30,2741541.46,Closed
ACC0000216,CUST032735,1255446255,Savings,BR0622,2025-05-02,979627.04,Inactive
ACC0000217,CUST022206,9862305835,"Recurring deposit",BR0133,2024-10-07,3781036.74,Dormant
ACC0000218,CUST015534,7026099193,Savings,BR0163,2022-12-17,825438.04,Active
ACC0000219,CUST043290,5795610347,"Recurring deposit",BR0850,2024-07-06,1586469.83,Active
ACC0000220,CUST079793,3298635857,Current,BR0395,2022-11-05,4219178.97,Unknown
ACC0000221,CUST065735,4789192007,"Fixed deposit",BR0811,2023-03-12,255655.44,Unknown
ACC0000222,CUST016995,7133685742,Current,BR0193,2025-01-29,2613833.37,Active
ACC0000223,CUST062892,1554157983,Unknown,BR0547,2024-09-23,4979841.66,Inactive
ACC0000224,CUST043788,9429083093,Current,BR0439,2025-08-23,3157914.87,Inactive
ACC0000225,CUST099276,4509489396,Unknown,BR0937,2024-12-08,2091672.47,Active
ACC0000226,CUST008157,7742115169,"Recurring deposit",BR0376,2024-09-20,3638793.00,Active
ACC0000227,CUST096921,7978388627,"Fixed deposit",BR0594,2022-08-11,110679.41,Dormant
ACC0000228,CUST097898,1648408154,Current,BR0211,2023-11-12,2123582.84,Unknown
ACC0000229,CUST038682,1968685838,"Fixed deposit",BR0757,2023-02-12,1485843.93,Unknown
ACC0000230,CUST093344,7256910514,"Recurring deposit",BR0260,2024-03-06,3333177.21,Active
ACC0000231,CUST036902,4041092380,Salary,BR0026,2024-07-02,3640890.51,Closed
ACC0000232,CUST086189,6165193331,Savings,BR0894,2024-01-14,4348044.46,Closed
ACC0000233,CUST036552,9194842730,Savings,BR0647,2023-12-27,1951026.44,Inactive
ACC0000234,CUST082046,6972039245,Current,BR0136,2023-03-19,1319487.74,Active
ACC0000235,CUST086297,3413212633,Current,BR0792,2022-01-16,3311327.69,Unknown
ACC0000236,CUST044883,6194177304,Savings,BR0020,2025-07-13,508656.83,Active
ACC0000237,CUST037288,4709004661,Current,BR0607,2024-08-03,2143548.04,Unknown
ACC0000238,CUST001451,2708930546,Current,BR0447,2023-04-14,3635833.89,Active
ACC0000239,CUST025240,2403326688,"Fixed deposit",BR0988,2024-10-12,836523.05,Dormant
ACC0000240,CUST029898,8833854368,Savings,BR0395,2022-02-07,142849.52,Closed
ACC0000241,CUST085557,3068837944,Current,BR0622,2023-12-09,0.00,Inactive
ACC0000242,CUST026113,9694598096,"Recurring deposit",BR0323,2023-10-02,2904888.80,Active
ACC0000243,CUST034035,2200182467,Current,BR0160,2022-09-27,4512779.61,Unknown
ACC0000244,CUST073778,7950541249,Current,BR0133,2025-04-04,1016378.83,Dormant
ACC0000245,CUST037559,5305984892,Savings,BR0564,2023-05-21,4254589.81,Unknown
ACC0000246,CUST065264,6601420599,Current,BR0448,2024-09-27,138243.70,Unknown
ACC0000247,CUST091225,9088390066,Unknown,BR0780,2025-05-29,2673885.49,Unknown
ACC0000248,CUST036771,6002998344,Unknown,BR0804,2025-06-14,1645202.60,Inactive
ACC0000249,CUST077484,4625874572,Savings,BR0153,2023-10-06,3922754.10,Inactive
ACC0000250,CUST073759,1355596202,"Recurring deposit",BR0372,2022-11-04,1377463.18,Closed
ACC0000251,CUST000833,3645215684,Savings,BR0980,2024-10-29,2652625.96,Active
ACC0000252,CUST064651,7264709502,"Fixed deposit",BR0974,2024-07-24,4363748.83,Unknown
ACC0000253,CUST084415,9416273465,Salary,BR0864,2024-02-25,392675.81,Active
ACC0000254,CUST030739,8382672435,Savings,BR0965,2024-11-18,811732.50,Closed
ACC0000255,CUST088975,9404225951,Unknown,BR0480,2023-05-15,1560085.41,Active
ACC0000256,CUST016039,1572198117,Current,BR0682,2023-02-25,3681846.68,Closed
ACC0000257,CUST025591,5011568614,"Recurring deposit",BR0169,2022-06-05,1693738.05,Active
ACC0000258,CUST059506,1472040062,Unknown,BR0490,2024-05-24,3595044.55,Dormant
ACC0000259,CUST027461,2429177944,"Fixed deposit",BR0080,2022-07-01,1384934.86,Active
ACC0000260,CUST078490,2063223833,Current,BR0321,2024-10-31,4381405.70,Dormant
ACC0000261,CUST089901,7235489385,"Fixed deposit",BR0591,2023-09-12,2896427.24,Inactive
ACC0000262,CUST061674,6203597979,"Fixed deposit",BR0113,2023-09-09,4512189.34,Dormant
ACC0000263,CUST058271,7144440624,"Fixed deposit",BR0571,NULL,4237312.10,Closed
ACC0000264,CUST000500,2165754660,"Fixed deposit",BR0897,2024-11-27,3092479.57,Inactive
ACC0000265,CUST057348,2216611262,Unknown,BR0121,2023-08-03,3958301.69,Dormant
ACC0000266,CUST046696,7211441030,"Fixed deposit",BR0603,2024-03-28,980877.57,Active
ACC0000267,CUST076540,1908279913,Savings,BR0913,2025-03-10,1699704.15,Dormant
ACC0000268,CUST093592,1444968811,Salary,BR0129,2022-07-18,2336876.20,Inactive
ACC0000269,CUST016742,2736750399,Salary,BR0354,2022-12-29,4374051.76,Unknown
ACC0000270,CUST028102,2177855921,Savings,BR0066,2025-05-05,1131946.23,Closed
ACC0000271,CUST003749,7231337645,Current,BR0040,2023-05-08,1726273.87,Active
ACC0000272,CUST079368,6795123122,Savings,BR0318,2022-12-20,3142786.55,Active
ACC0000273,CUST042825,9613812766,Current,BR0131,2022-07-13,1508058.17,Closed
ACC0000274,CUST024292,7068632623,Current,BR0922,2023-05-08,587208.54,Dormant
ACC0000275,CUST004719,6400745816,Savings,BR0690,2024-10-03,3946287.23,Unknown
ACC0000276,CUST069397,8980398697,Savings,BR0357,2024-08-21,2164862.66,Active
ACC0000277,CUST038793,3408680909,Current,BR0424,2024-01-05,2610433.56,Active
ACC0000278,CUST014191,5145329085,Unknown,BR0046,2025-06-02,562220.47,Active
ACC0000279,CUST015192,7230600042,"Fixed deposit",BR0478,2022-06-19,2453604.16,Inactive
ACC0000280,CUST081397,9550460384,Current,BR0542,2024-09-23,496017.10,Dormant
ACC0000281,CUST073780,9281057076,Unknown,BR0725,2023-06-12,795760.76,Active
ACC0000282,CUST027178,1678047917,Unknown,BR0717,2023-05-05,1819326.42,Active
ACC0000283,CUST080342,1684959033,"Recurring deposit",BR0342,2025-12-30,2845494.28,Active
ACC0000284,CUST025185,9146457992,"Recurring deposit",BR0277,2023-10-22,2430948.44,Closed
ACC0000285,CUST089538,7134450342,"Fixed deposit",BR0529,2023-07-12,1202692.73,Active
ACC0000286,CUST060410,8894146204,Savings,BR0235,2022-06-14,1406731.13,Inactive
ACC0000287,CUST056066,2535833364,Savings,BR0804,NULL,1265558.24,Dormant
ACC0000288,CUST043133,6887896538,Unknown,BR0999,2024-05-12,4680323.23,Closed
ACC0000289,CUST093593,2792084726,Savings,BR0552,2025-04-14,2653100.98,Unknown
ACC0000290,CUST088840,2378547206,Current,BR0002,2025-04-03,3490469.37,Unknown
ACC0000291,CUST018623,3977576510,"Fixed deposit",BR0251,2022-10-02,2408076.20,Unknown
ACC0000292,CUST012091,3714240478,"Fixed deposit",BR0435,2025-11-07,2319443.39,Dormant
ACC0000293,CUST028107,1649865793,"Recurring deposit",BR0086,2023-08-22,4507284.99,Active
ACC0000294,CUST074503,2037193622,Unknown,BR0483,2025-04-22,2068038.99,Unknown
ACC0000295,CUST098246,9876723987,Savings,BR0123,2025-07-28,3101528.34,Active
ACC0000296,CUST006947,3683569942,Current,BR0889,2022-05-22,3021205.94,Dormant
ACC0000297,CUST032412,9824210634,Salary,BR0752,2023-08-21,4965189.30,Inactive
ACC0000298,CUST061044,9191729518,Current,BR0505,2024-06-04,2505729.90,Unknown
ACC0000299,CUST038303,4076310902,Savings,BR0652,2022-04-07,3396659.78,Active
ACC0000300,CUST016091,8478344785,Savings,BR0628,2022-10-27,1595693.27,Inactive
ACC0000301,CUST028708,6747496548,Salary,BR0148,2024-01-01,2761832.45,Inactive
ACC0000302,CUST090494,2495486577,Current,BR0723,2022-12-08,2199327.98,Inactive
ACC0000303,CUST053734,2649918216,Unknown,BR0609,2025-05-21,4314450.78,Unknown
ACC0000304,CUST047227,1521286140,Current,BR0973,2022-10-23,2117762.23,Closed
ACC0000305,CUST074099,6243849231,"Recurring deposit",BR0069,2022-01-17,4214772.72,Unknown
ACC0000306,CUST038966,1190714437,Savings,BR0908,2022-02-07,1079861.01,Active
ACC0000307,CUST073025,4428103125,"Fixed deposit",BR0105,2022-03-20,399068.88,Dormant
